Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Somervell County,50.00%,6,"$3,157,721",16.85%,-30.13%
Starr County,100.00%,3,"$224,408",0.00%,-100.00%
Stephens County,0.00%,2,"$340,200",81.92%,26.99%
Stonewall County,100.00%,1,"$3,113,169",13.30%,-84.51%
Sutton County,50.00%,2,"$104,467",33.36%,-17.25%
Swisher County,100.00%,3,"$2,842,568",-2.26%,-47.55%
Tarrant County,59.41%,303,"$570,866,165",9.12%,-5.71%
Taylor County,55.56%,54,"$77,841,047",11.35%,-4.35%
Throckmorton County,100.00%,1,"$25,030",-35.69%,-42.54%
Titus County,80.00%,5,"$5,170,519",17.46%,-49.41%
Tom Green County,60.53%,38,"$89,369,025",9.06%,-10.58%
Travis County,64.97%,491,"$2,152,430,191",10.42%,-9.56%
Trinity County,100.00%,3,"$186,364",1.70%,-24.93%
Tyler County,50.00%,2,"$102,619",16.41%,6.10%
Upshur County,100.00%,1,"$62,932",1.11%,-6.81%
Uvalde County,71.43%,7,"$6,066,925",16.13%,-20.02%
Val Verde County,100.00%,8,"$3,588,692",-4.58%,-47.32%
Van Zandt County,50.00%,6,"$504,000",9.87%,-0.22%
Victoria County,78.26%,23,"$18,189,502",4.14%,-12.09%
Walker County,87.50%,16,"$11,400,106",3.28%,-22.15%
Waller County,80.00%,5,"$3,292,603",8.29%,-42.77%
Ward County,75.00%,4,"$1,295,402",4.02%,-48.53%
Washington County,78.57%,14,"$1,752,896",5.64%,-6.88%
Webb County,87.50%,32,"$97,952,966",3.48%,-54.95%
Wharton County,93.33%,15,"$2,035,665",3.23%,-34.65%
Wheeler County,100.00%,2,"$62,693",-35.60%,-86.01%
Wichita County,74.42%,43,"$46,601,616",6.46%,-15.25%
Wilbarger County,100.00%,3,"$410,838",8.07%,-7.95%
Williamson County,58.90%,73,"$193,800,850",14.00%,-4.04%
Winkler County,0.00%,1,"$2,136",65.72%,64.31%
Wise County,70.00%,10,"$1,801,649",8.64%,-45.01%
Wood County,60.00%,10,"$11,225,539",21.15%,-29.95%
Young County,88.89%,9,"$1,243,983",7.96%,-35.59%
Zapata County,100.00%,2,"$110,342",1.54%,-12.29%
Zavala County,100.00%,1,"$4,711,763",16.23%,-53.14%
