Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Jefferson County,91.67%,12,"$15,199,195",-0.01%,-54.12%
Jersey County,100.00%,2,"$292,485",2.13%,-52.08%
Jo Daviess County,45.45%,11,"$5,522,603",17.11%,2.14%
Johnson County,100.00%,2,"$8,405,278",0.57%,-68.60%
Kane County,69.52%,105,"$760,105,857",5.89%,-17.33%
Kankakee County,70.37%,27,"$35,503,538",5.69%,-24.75%
Kendall County,62.50%,8,"$2,355,882",4.12%,-17.74%
Knox County,71.43%,28,"$27,448,626",5.09%,-10.29%
LaSalle County,75.76%,33,"$12,365,527",2.94%,-9.15%
Lake County,57.38%,122,"$100,821,278",10.94%,-5.23%
Lawrence County,100.00%,1,"$185,362",-22.35%,-68.64%
Lee County,84.62%,13,"$18,668,377",2.27%,-16.76%
Livingston County,75.00%,8,"$5,897,794",9.95%,-6.76%
Logan County,75.00%,12,"$20,359,589",-4.10%,-14.52%
Macon County,83.33%,36,"$51,066,267",0.77%,-40.62%
Macoupin County,58.33%,12,"$23,021,081",7.21%,-9.08%
Madison County,73.08%,52,"$61,489,123",6.80%,-11.66%
Marion County,75.00%,12,"$18,799,349",7.12%,-11.22%
Marshall County,75.00%,8,"$1,220,966",-0.28%,-43.39%
Mason County,66.67%,3,"$1,302,139",10.02%,-14.35%
Massac County,100.00%,4,"$1,180,177",14.35%,-48.41%
McDonough County,70.00%,10,"$8,707,658",9.70%,-12.15%
McHenry County,62.79%,43,"$24,053,838",13.53%,-14.55%
McLean County,67.31%,52,"$607,220,208",9.94%,-27.41%
Menard County,100.00%,3,"$220,201",1.58%,-30.03%
Mercer County,50.00%,4,"$1,260,828",12.08%,-2.81%
Monroe County,50.00%,2,"$535,244",39.25%,-5.27%
Montgomery County,80.00%,5,"$1,144,703",5.19%,-55.44%
Morgan County,83.33%,12,"$12,108,399",6.23%,-50.47%
Moultrie County,71.43%,7,"$1,563,276",8.28%,-24.32%
Ogle County,72.73%,11,"$6,283,653",6.89%,-15.56%
Peoria County,63.53%,85,"$193,031,378",7.92%,-9.22%
Perry County,87.50%,8,"$8,304,804",3.67%,-44.63%
Piatt County,0.00%,2,"$426,671",15.81%,6.66%
Pike County,50.00%,2,"$1,448,231",-114.25%,-127.63%
Pope County,50.00%,2,"$283,573",0.27%,-50.63%
Pulaski County,100.00%,1,"$5,824,776",-0.57%,-99.98%
Putnam County,100.00%,2,"$178,212",-209.03%,-242.47%
Randolph County,100.00%,3,"$11,049,836",-1.83%,-49.43%
Richland County,100.00%,2,"$4,704,703",-9.96%,-60.78%
Rock Island County,63.27%,49,"$75,646,653",7.22%,-14.71%
Saline County,100.00%,5,"$8,237,315",-0.04%,-34.32%
Sangamon County,67.59%,108,"$307,527,817",4.89%,-22.12%
Schuyler County,0.00%,1,"$78,333",12.99%,4.40%
Shelby County,0.00%,1,"$571,233",12.08%,4.23%
St. Clair County,75.00%,56,"$159,151,826",11.79%,-27.71%
Stark County,0.00%,1,"$26,904",51.49%,41.53%
Stephenson County,92.31%,13,"$14,525,182",0.33%,-55.23%
Tazewell County,50.00%,22,"$32,489,799",11.77%,-1.61%
Union County,100.00%,4,"$6,957,886",8.89%,-11.23%
Vermilion County,86.36%,22,"$29,045,193",3.84%,-41.49%
Warren County,90.91%,11,"$11,806,981",-2.51%,-34.30%
Washington County,50.00%,2,"$399,004",-1.84%,-39.75%
Wayne County,50.00%,6,"$822,802",15.64%,-0.81%
White County,100.00%,4,"$15,242,341",-1.92%,-86.64%
Whiteside County,88.89%,18,"$35,302,402",3.70%,-20.16%
Will County,72.46%,69,"$114,485,152",6.04%,-18.64%
Williamson County,91.67%,12,"$20,641,390",4.39%,-49.16%
Winnebago County,75.86%,87,"$174,858,270",8.59%,-24.49%
Woodford County,62.50%,8,"$3,927,743",3.14%,-2.18%
