Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Madison County,100.00%,2,"$15,610,855",8.99%,-16.11%
Marion County,100.00%,1,"$494,717",4.20%,-85.30%
McDuffie County,100.00%,1,"$2,113,034",-0.99%,-100.99%
Meriwether County,50.00%,2,"$8,053",-188.27%,-189.25%
Miller County,100.00%,2,"$743,211",0.59%,-62.96%
Mitchell County,100.00%,3,"$15,004,602",17.73%,-60.99%
Monroe County,75.00%,4,"$708,709",1.26%,-27.40%
Montgomery County,100.00%,2,"$2,140,155",1.00%,-54.42%
Morgan County,50.00%,4,"$611,173",19.08%,7.09%
Murray County,80.00%,5,"$2,632,481",4.65%,-37.65%
Muscogee County,65.57%,61,"$76,718,609",8.98%,-4.47%
Newton County,87.50%,8,"$2,136,832",4.97%,-18.64%
Oconee County,16.67%,6,"$940,862",39.72%,27.87%
Paulding County,63.64%,11,"$2,579,344",5.62%,-52.91%
Peach County,100.00%,1,"$46,656",-8.23%,-12.43%
Pickens County,46.15%,13,"$22,356,048",14.24%,7.81%
Pierce County,50.00%,2,"$74,307",7.03%,-1.33%
Pike County,100.00%,1,"$167,700",6.21%,-4.76%
Polk County,66.67%,3,"$940,673",13.82%,-50.57%
Pulaski County,66.67%,3,"$10,230,089",16.92%,-11.00%
Putnam County,66.67%,3,"$291,844",2.36%,-5.97%
Rabun County,16.67%,6,"$4,443,701",24.13%,9.25%
Randolph County,100.00%,3,"$9,923,526",6.53%,-77.11%
Richmond County,74.63%,67,"$177,701,589",7.56%,-20.66%
Rockdale County,94.44%,18,"$25,623,562",3.90%,-67.51%
Screven County,0.00%,1,"$43,900",27.20%,23.22%
Seminole County,100.00%,2,"$3,570,424",-9.57%,-29.31%
Spalding County,90.91%,11,"$1,705,206",2.12%,-12.26%
Stephens County,66.67%,9,"$5,131,275",9.97%,-22.89%
Stewart County,0.00%,1,"$17,572,005",30.61%,5.41%
Sumter County,44.44%,9,"$32,442,893",10.30%,2.01%
Terrell County,66.67%,3,"$2,063,256",16.05%,-61.87%
Thomas County,73.08%,26,"$29,039,901",7.02%,-12.64%
Tift County,80.00%,10,"$20,297,604",-0.75%,-56.28%
Toombs County,33.33%,6,"$2,260,904",14.01%,2.38%
Towns County,60.00%,5,"$7,994,931",0.45%,-8.00%
Treutlen County,100.00%,1,"$97,097",3.17%,-58.68%
Troup County,66.67%,21,"$39,167,357",7.09%,-17.58%
Turner County,100.00%,1,"$542,528",5.35%,-93.32%
Union County,66.67%,6,"$9,710,399",3.10%,-24.41%
Upson County,50.00%,2,"$4,296,285",6.29%,-0.36%
Walker County,100.00%,4,"$1,933,659",6.82%,-69.29%
Walton County,62.50%,8,"$3,098,214",5.72%,-17.04%
Ware County,90.00%,10,"$39,463,513",1.77%,-38.52%
Warren County,100.00%,1,"$258,075",-6.37%,-101.32%
Washington County,100.00%,3,"$6,033,806",8.35%,-72.87%
Wayne County,100.00%,3,"$795,540",-6.81%,-19.53%
Wheeler County,100.00%,1,"$53,711",-51.19%,-151.19%
White County,57.14%,7,"$5,730,304",11.52%,-0.02%
Whitfield County,64.29%,28,"$17,633,941",11.24%,-12.08%
Wilcox County,0.00%,1,"$8,883",18.54%,9.24%
Wilkes County,100.00%,1,"$283,824",-15.89%,-114.02%
Wilkinson County,66.67%,3,"$192,656",10.93%,-18.39%
Worth County,50.00%,2,"$2,319,596",-4.42%,-14.40%
