Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Poweshiek County,25.00%,8,"$6,831,418",32.98%,17.32%
Ringgold County,50.00%,2,"$248,907",-98.29%,-347.93%
Sac County,66.67%,6,"$622,904",4.81%,-5.11%
Scott County,62.96%,54,"$114,796,860",9.05%,-7.91%
Shelby County,62.50%,8,"$18,646,876",3.94%,-6.33%
Sioux County,57.58%,33,"$21,540,689",14.13%,-1.81%
Story County,64.29%,42,"$42,371,776",13.58%,-7.24%
Tama County,75.00%,4,"$873,917",13.51%,-4.64%
Taylor County,100.00%,3,"$581,945",21.01%,-25.45%
Union County,66.67%,9,"$6,339,738",9.04%,-12.11%
Wapello County,80.00%,10,"$22,133,889",9.72%,-12.45%
Warren County,50.00%,10,"$5,332,991",15.53%,-2.66%
Washington County,57.14%,14,"$4,037,780",25.55%,-1.45%
Wayne County,100.00%,2,"$121,907",-25.18%,-50.31%
Webster County,83.33%,18,"$18,746,253",7.61%,-9.81%
Winnebago County,88.89%,9,"$991,136",5.07%,-11.09%
Winneshiek County,61.11%,18,"$20,752,913",6.53%,-6.03%
Woodbury County,71.67%,60,"$74,176,821",6.34%,-12.72%
Worth County,100.00%,2,"$466,419",34.46%,-5.10%
Wright County,100.00%,5,"$1,966,479",0.01%,-16.44%
