Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Fremont County,0.00%,2,"$29,349",46.29%,35.83%
Greene County,0.00%,2,"$212,959",40.46%,15.65%
Grundy County,66.67%,6,"$717,152",8.91%,-15.01%
Guthrie County,66.67%,3,"$1,595,776",32.93%,-3.53%
Hamilton County,100.00%,3,"$178,608",3.57%,-16.58%
Hancock County,80.00%,5,"$313,193",8.04%,-6.38%
Hardin County,100.00%,4,"$366,454",-10.75%,-29.97%
Harrison County,66.67%,6,"$1,123,245",-14.64%,-35.13%
Henry County,66.67%,9,"$1,252,316",6.43%,-7.19%
Howard County,80.00%,5,"$782,414",16.13%,-6.30%
Humboldt County,80.00%,5,"$147,318",0.55%,-17.69%
Ida County,66.67%,3,"$1,177,861",40.46%,-0.38%
Iowa County,83.33%,6,"$1,470,737",-10.20%,-41.49%
Jackson County,66.67%,6,"$1,577,387",16.45%,-33.82%
Jasper County,100.00%,5,"$266,221",-43.77%,-60.46%
Jefferson County,36.36%,11,"$3,318,695",4.82%,3.71%
Johnson County,68.66%,67,"$25,697,738",5.25%,-9.64%
Jones County,66.67%,6,"$5,666,775",12.65%,-3.61%
Keokuk County,0.00%,1,"$20,156",16.73%,8.07%
Kossuth County,40.00%,5,"$763,068",33.97%,0.04%
Lee County,75.00%,8,"$633,688",10.84%,-11.23%
Linn County,67.11%,76,"$98,943,630",1.92%,-7.99%
Louisa County,100.00%,1,"$197,156",19.72%,-24.18%
Lucas County,50.00%,6,"$5,004,022",12.52%,-2.52%
Lyon County,80.00%,5,"$579,561",-4.22%,-19.47%
Madison County,85.71%,7,"$816,208",1.29%,-31.59%
Mahaska County,62.50%,8,"$5,415,587",4.00%,-1.78%
Marion County,55.56%,9,"$8,671,618",5.09%,-6.21%
Marshall County,66.67%,9,"$20,711,775",6.54%,-24.69%
Mills County,100.00%,1,"$62,000",-14.72%,-41.23%
Mitchell County,80.00%,5,"$166,688",-1.38%,-20.12%
Monona County,100.00%,2,"$1,991,836",-8.14%,-16.86%
Monroe County,100.00%,4,"$558,217",2.74%,-28.97%
Montgomery County,66.67%,6,"$1,080,510",9.93%,-25.74%
Muscatine County,66.67%,12,"$7,140,745",4.44%,-10.40%
O'Brien County,81.82%,11,"$2,150,515",10.69%,-18.28%
Osceola County,100.00%,2,"$438,816",-122.39%,-126.51%
Page County,50.00%,6,"$2,145,135",9.54%,-0.95%
Palo Alto County,75.00%,4,"$18,147,840",0.98%,-8.57%
Plymouth County,66.67%,9,"$16,944,775",7.63%,-15.02%
Polk County,77.34%,203,"$306,020,733",1.44%,-20.78%
Pottawattamie County,70.83%,24,"$20,306,466",3.65%,-28.51%
Poweshiek County,71.43%,7,"$6,028,251",2.21%,-11.59%
Ringgold County,66.67%,3,"$1,059,691",47.74%,-15.02%
Sac County,50.00%,6,"$401,780",11.20%,1.29%
Scott County,82.22%,45,"$74,697,763",6.90%,-13.00%
Shelby County,70.00%,10,"$16,230,087",2.99%,-17.68%
Sioux County,53.57%,28,"$15,558,003",7.60%,-0.42%
Story County,69.44%,36,"$41,118,357",7.46%,-11.68%
Tama County,75.00%,4,"$742,231",16.30%,-11.69%
Taylor County,100.00%,3,"$564,353",12.90%,-44.14%
Union County,85.71%,7,"$6,055,067",7.17%,-40.82%
Wapello County,77.78%,9,"$22,316,296",9.68%,-11.79%
Warren County,55.56%,9,"$2,414,760",4.16%,-5.42%
Washington County,78.57%,14,"$4,732,067",5.46%,-12.65%
Wayne County,100.00%,3,"$337,598",15.80%,-20.93%
Webster County,81.25%,16,"$28,904,409",6.37%,-40.74%
Winnebago County,77.78%,9,"$329,394",-15.53%,-23.64%
Winneshiek County,68.75%,16,"$21,822,728",-1.24%,-10.26%
Woodbury County,76.60%,47,"$48,599,790",-0.75%,-15.68%
Wright County,75.00%,4,"$2,180,769",51.80%,-7.02%
