Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Humphreys County,100.00%,2,"$2,533,085",4.57%,-36.68%
Jackson County,100.00%,2,"$61,035",45.77%,-8.87%
Jefferson County,87.50%,8,"$6,355,796",-2.58%,-38.51%
Johnson County,100.00%,3,"$852,322",15.30%,-83.29%
Knox County,76.43%,157,"$306,169,486",3.60%,-24.00%
Lake County,100.00%,1,"$3,259,173",5.24%,-69.40%
Lauderdale County,66.67%,3,"$2,489,881",6.48%,-57.79%
Lawrence County,90.00%,10,"$1,735,065",11.53%,-40.65%
Lewis County,90.91%,11,"$13,477,742",-20.04%,-68.06%
Lincoln County,83.33%,6,"$30,693,032",3.58%,-45.81%
Loudon County,76.92%,13,"$9,991,527",1.33%,-44.44%
Macon County,33.33%,3,"$384,139",7.76%,0.80%
Madison County,81.25%,32,"$41,662,453",6.12%,-32.58%
Marion County,75.00%,4,"$472,122",3.40%,-8.51%
Marshall County,50.00%,2,"$118,450",6.68%,-48.96%
Maury County,73.68%,19,"$3,579,619",10.06%,-15.44%
McMinn County,61.54%,13,"$12,084,882",7.78%,-9.32%
McNairy County,100.00%,1,"$203,031",26.86%,-3.60%
Monroe County,90.91%,11,"$4,572,830",5.39%,-20.29%
Montgomery County,83.33%,18,"$29,598,918",0.96%,-27.78%
Moore County,100.00%,1,"$24,460",-28.95%,-74.09%
Morgan County,66.67%,3,"$2,754,522",5.37%,-19.14%
Obion County,66.67%,9,"$2,110,302",-0.48%,-36.48%
Overton County,75.00%,4,"$1,339,566",3.55%,-45.23%
Perry County,100.00%,2,"$3,268,890",53.15%,-20.85%
Polk County,50.00%,2,"$3,530,364",15.10%,-10.32%
Putnam County,92.31%,39,"$35,390,138",-0.96%,-71.61%
Rhea County,57.14%,7,"$4,973,872",3.24%,-24.37%
Roane County,50.00%,6,"$7,777,266",6.36%,-29.62%
Robertson County,66.67%,12,"$3,516,494",14.18%,-4.14%
Rutherford County,79.07%,43,"$16,880,612",3.11%,-20.92%
Scott County,83.33%,6,"$5,297,208",6.33%,-48.80%
Sequatchie County,100.00%,1,"$16,136,392",-1.24%,-84.84%
Sevier County,71.43%,21,"$9,940,164",16.31%,-20.98%
Shelby County,83.48%,333,"$944,290,663",3.29%,-33.70%
Stewart County,100.00%,3,"$242,206",11.89%,-34.54%
Sullivan County,81.13%,53,"$49,261,818",6.47%,-24.79%
Sumner County,73.68%,38,"$11,270,260",9.02%,-15.73%
Tipton County,80.00%,5,"$9,555,324",2.91%,-46.07%
Unicoi County,85.71%,7,"$1,329,208",18.47%,-13.30%
Union County,100.00%,1,"$23,600",-20.20%,-29.15%
Warren County,66.67%,6,"$6,134,220",15.11%,-36.50%
Washington County,78.12%,64,"$84,942,103",3.02%,-19.27%
Wayne County,100.00%,1,"$308,296",3.21%,-1.14%
Weakley County,100.00%,11,"$39,574,902",-3.44%,-92.69%
White County,66.67%,3,"$1,138,950",10.06%,-33.60%
Williamson County,69.23%,39,"$29,599,905",4.52%,-21.70%
Wilson County,69.23%,26,"$33,524,169",4.05%,-19.53%
