Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Grady County,100.00%,2,"$1,068,143",-13.92%,-91.50%
Greene County,75.00%,8,"$6,881,921",0.35%,-26.26%
Gwinnett County,79.52%,83,"$134,737,539",3.69%,-33.31%
Habersham County,100.00%,7,"$5,379,450",-7.54%,-72.75%
Hall County,68.97%,29,"$95,688,257",11.46%,-14.60%
Hancock County,100.00%,1,"$47,000",12.01%,-12.07%
Haralson County,50.00%,2,"$83,000",0.75%,-3.38%
Harris County,100.00%,2,"$1,517,167",14.09%,-49.03%
Hart County,100.00%,1,"$1,166,026",3.82%,-80.60%
Heard County,100.00%,1,"$1,100",-56.82%,-56.93%
Henry County,87.50%,16,"$7,040,438",-0.90%,-50.01%
Houston County,86.67%,15,"$24,447,712",3.62%,-28.85%
Irwin County,66.67%,3,"$5,677,431",6.82%,-27.85%
Jackson County,83.33%,6,"$1,251,687",1.76%,-74.88%
Jasper County,100.00%,1,"$2,347,233",3.23%,-11.86%
Jeff Davis County,100.00%,2,"$125,501",-0.11%,-13.07%
Jefferson County,100.00%,1,"$500,000",-9.36%,-103.60%
Jenkins County,100.00%,1,"$370,020",5.43%,-87.62%
Johnson County,100.00%,1,"$9,389,038",6.18%,-40.78%
Jones County,100.00%,2,"$197,672",-6.23%,-14.24%
Lamar County,100.00%,4,"$1,558,855",-13.56%,-83.74%
Laurens County,60.00%,5,"$1,921,824",9.52%,-74.08%
Liberty County,85.71%,7,"$5,277,762",15.88%,-22.48%
Lowndes County,82.61%,23,"$51,016,237",0.67%,-53.88%
Lumpkin County,75.00%,4,"$1,420,904",10.97%,-33.77%
Macon County,100.00%,3,"$2,799,258",-5.21%,-75.03%
Madison County,100.00%,2,"$11,993,352",-8.16%,-30.57%
Marion County,100.00%,1,"$262,552",10.92%,-69.75%
Meriwether County,0.00%,1,"$34,000",64.50%,52.75%
Miller County,100.00%,2,"$601,472",-19.93%,-79.70%
Mitchell County,100.00%,4,"$14,652,262",12.80%,-27.63%
Monroe County,100.00%,3,"$652,451",1.73%,-8.31%
Montgomery County,50.00%,2,"$2,269,092",10.19%,-44.72%
Morgan County,66.67%,3,"$902,767",8.47%,-2.94%
Murray County,100.00%,3,"$2,772,609",1.26%,-98.74%
Muscogee County,82.22%,45,"$64,874,041",1.75%,-32.66%
Newton County,100.00%,7,"$1,217,818",1.96%,-39.23%
Oconee County,50.00%,4,"$2,210,586",7.97%,-7.62%
Paulding County,70.00%,10,"$1,521,259",5.80%,-47.23%
Peach County,100.00%,1,"$319,455",20.98%,-0.20%
Pickens County,83.33%,6,"$13,511,678",1.18%,-11.91%
Pierce County,100.00%,1,"$186,228",20.71%,-16.51%
Polk County,100.00%,2,"$748,755",10.97%,-67.55%
Pulaski County,66.67%,3,"$7,455,271",2.13%,-19.49%
Putnam County,75.00%,4,"$575,195",0.37%,-19.13%
Rabun County,80.00%,5,"$5,810,484",11.70%,-37.98%
Randolph County,100.00%,3,"$9,950,291",4.07%,-86.56%
Richmond County,84.00%,50,"$139,534,009",4.47%,-31.59%
Rockdale County,100.00%,12,"$17,846,652",1.08%,-83.00%
Screven County,0.00%,1,"$71,973",12.24%,5.89%
Seminole County,50.00%,2,"$961,049",2.46%,0.93%
Spalding County,71.43%,7,"$1,739,633",13.33%,-38.40%
Stephens County,83.33%,6,"$6,473,443",-0.63%,-46.93%
Stewart County,100.00%,1,"$18,917,785",24.00%,-1.32%
Sumter County,62.50%,8,"$25,186,183",11.96%,-9.21%
Terrell County,66.67%,3,"$2,801,698",11.25%,-70.19%
Thomas County,61.11%,18,"$9,445,821",11.76%,-10.10%
Tift County,90.00%,10,"$4,690,145",1.74%,-39.11%
Toombs County,66.67%,6,"$2,423,157",2.30%,-13.33%
Towns County,50.00%,2,"$2,225,544",0.30%,-2.87%
Treutlen County,100.00%,1,"$71,335",-23.14%,-72.82%
Troup County,78.95%,19,"$25,263,793",-2.09%,-30.92%
Turner County,100.00%,1,"$579,719",0.45%,-98.92%
Union County,66.67%,6,"$6,707,052",3.58%,-21.17%
Upson County,0.00%,1,"$2,370,378",5.20%,3.25%
Walker County,100.00%,5,"$2,407,175",7.41%,-57.47%
Walton County,100.00%,7,"$4,904,811",1.76%,-44.35%
Ware County,90.00%,10,"$42,886,611",5.41%,-32.63%
Warren County,100.00%,1,"$272,180",-4.63%,-100.71%
Washington County,75.00%,4,"$6,420,740",1.95%,-89.12%
Wayne County,66.67%,3,"$1,003,878",17.71%,-20.56%
White County,33.33%,6,"$8,895,717",28.37%,6.63%
Whitfield County,88.24%,17,"$12,919,633",8.45%,-45.25%
Wilkes County,100.00%,1,"$417,540",2.61%,-95.90%
Wilkinson County,66.67%,3,"$207,634",13.66%,-15.12%
Worth County,50.00%,2,"$698,974",25.19%,-12.58%
