Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Hopewell city,66.67%,3,"$165,000",3.11%,-8.78%
Isle of Wight County,77.78%,9,"$1,560,626",2.99%,-66.62%
James City County,72.73%,22,"$15,391,926",3.60%,-10.22%
King William County,100.00%,4,"$4,433,058",-0.21%,-82.98%
King and Queen County,50.00%,2,"$128,436",11.81%,-23.32%
Lancaster County,100.00%,2,"$27,760",-24.06%,-33.25%
Lee County,100.00%,2,"$12,401,598",-9.31%,-43.58%
Lexington city,50.00%,8,"$1,908,059",7.13%,2.67%
Loudoun County,71.05%,76,"$54,153,205",4.28%,-20.73%
Louisa County,100.00%,13,"$2,561,639",-8.61%,-82.47%
Lunenburg County,100.00%,3,"$5,363,669",-3.32%,-46.73%
Lynchburg city,69.23%,39,"$58,995,262",2.58%,-8.92%
Madison County,75.00%,8,"$3,379,712",6.66%,-22.99%
Manassas city,66.67%,15,"$16,841,550",4.09%,-5.38%
Martinsville city,82.35%,17,"$13,616,814",-2.70%,-42.85%
Mathews County,75.00%,4,"$691,940",15.92%,-20.07%
Mecklenburg County,81.82%,22,"$9,333,412",8.31%,-32.54%
Middlesex County,75.00%,8,"$12,236,954",28.03%,-15.86%
Montgomery County,79.31%,29,"$163,175,291",10.18%,-25.85%
Nelson County,80.00%,10,"$5,279,724",7.56%,-17.08%
New Kent County,100.00%,2,"$640,992",9.44%,-85.01%
Newport News city,64.52%,31,"$70,870,443",2.38%,-17.29%
Norfolk city,83.10%,71,"$87,816,975",0.20%,-30.30%
Northampton County,54.55%,11,"$4,870,725",12.71%,-3.98%
Northumberland County,53.85%,13,"$2,022,990",41.84%,-10.08%
Norton city,75.00%,4,"$3,707,730",-7.74%,-38.22%
Nottoway County,66.67%,6,"$1,332,670",15.07%,-9.78%
Orange County,70.00%,10,"$1,915,653",-0.77%,-21.45%
Page County,80.00%,5,"$1,327,780",3.85%,-67.60%
Patrick County,77.78%,9,"$642,157",17.72%,-22.25%
Petersburg city,66.67%,9,"$3,466,445",8.51%,-52.24%
Pittsylvania County,94.44%,18,"$7,960,555",9.22%,-44.01%
Poquoson city,0.00%,1,"$12,532",39.38%,18.83%
Portsmouth city,80.00%,15,"$14,359,972",14.55%,-15.48%
Powhatan County,0.00%,2,"$147,140",41.18%,31.41%
Prince Edward County,68.75%,16,"$20,837,623",9.25%,-19.80%
Prince George County,100.00%,2,"$8,351,929",16.62%,-46.14%
Prince William County,91.11%,45,"$65,517,772",1.55%,-39.93%
Pulaski County,85.71%,7,"$1,990,396",-6.43%,-27.38%
Radford city,80.00%,5,"$9,688,720",0.05%,-84.99%
Rappahannock County,62.50%,8,"$1,260,556",16.15%,-30.39%
Richmond County,100.00%,4,"$4,148,973",15.89%,-45.16%
Richmond city,70.63%,143,"$166,923,588",4.68%,-19.90%
Roanoke County,70.00%,10,"$3,974,425",-0.62%,-6.76%
Roanoke city,84.42%,77,"$94,270,199",-1.20%,-31.96%
Rockbridge County,78.57%,14,"$5,319,187",5.75%,-25.19%
Rockingham County,69.57%,23,"$3,447,161",8.06%,-5.22%
Russell County,75.00%,4,"$2,887,084",1.67%,-78.27%
Salem city,71.43%,7,"$5,306,751",5.12%,-6.70%
Scott County,100.00%,12,"$8,538,646",6.35%,-48.85%
Shenandoah County,63.16%,19,"$10,020,175",10.00%,-16.25%
Smyth County,90.91%,11,"$7,480,323",4.30%,-37.36%
Southampton County,71.43%,7,"$5,560,003",20.02%,-14.91%
Spotsylvania County,81.82%,11,"$11,689,064",0.00%,-35.90%
Stafford County,92.86%,14,"$5,075,612",-1.03%,-42.87%
Staunton city,80.00%,20,"$5,434,937",-0.05%,-19.17%
Suffolk city,70.00%,10,"$2,542,933",3.82%,-13.82%
Surry County,100.00%,1,"$37,350",-3.38%,-8.49%
Sussex County,66.67%,3,"$1,210,188",9.62%,-8.87%
Tazewell County,83.33%,12,"$14,755,639",0.87%,-22.38%
Virginia Beach city,65.45%,55,"$33,083,821",5.63%,-22.85%
Warren County,84.62%,13,"$6,617,721",13.72%,-58.72%
Washington County,86.67%,30,"$45,071,244",-2.05%,-41.01%
Waynesboro city,72.73%,11,"$4,599,969",3.13%,-12.30%
Westmoreland County,87.50%,8,"$2,155,975",12.77%,-50.74%
Williamsburg city,85.71%,14,"$78,450,330",1.15%,-15.72%
Winchester city,71.88%,32,"$45,263,999",4.96%,-15.95%
Wise County,76.92%,13,"$11,722,224",16.86%,-35.10%
Wythe County,71.43%,7,"$3,627,245",11.66%,-4.86%
York County,75.00%,4,"$1,706,808",-7.49%,-24.04%
