Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Gray County,100.00%,6,"$2,268,253",3.80%,-69.58%
Grayson County,80.95%,21,"$11,125,235",-5.82%,-26.37%
Gregg County,79.31%,29,"$35,800,914",2.89%,-32.69%
Grimes County,75.00%,4,"$1,776,418",-12.58%,-70.82%
Guadalupe County,83.33%,18,"$26,159,396",2.03%,-13.07%
Hale County,100.00%,11,"$17,931,865",-5.69%,-36.02%
Hardin County,100.00%,2,"$262,226",9.23%,-52.06%
Harris County,72.76%,558,"$3,794,138,684",3.72%,-17.35%
Harrison County,75.00%,12,"$16,614,080",4.92%,-10.05%
Hartley County,100.00%,1,"$87,834",-42.94%,-103.41%
Haskell County,100.00%,2,"$194,000",-12.83%,-37.33%
Hays County,65.71%,35,"$54,545,744",13.32%,-12.44%
Hemphill County,100.00%,4,"$585,577",15.92%,-35.36%
Henderson County,83.33%,6,"$3,375,917",14.78%,-63.51%
Hidalgo County,87.01%,77,"$1,386,404,938",1.85%,-55.28%
Hill County,66.67%,3,"$254,242",10.40%,-50.64%
Hockley County,100.00%,4,"$71,924,858",7.94%,-57.60%
Hood County,90.00%,10,"$4,655,701",7.63%,-28.25%
Hopkins County,100.00%,1,"$218,158",5.38%,-62.16%
Houston County,100.00%,4,"$1,992,039",7.59%,-34.29%
Howard County,100.00%,4,"$486,400",-7.24%,-76.56%
Hunt County,81.82%,11,"$15,874,693",7.89%,-31.02%
Hutchinson County,100.00%,5,"$1,063,224",0.12%,-35.36%
Jack County,100.00%,1,"$189,536",11.76%,-18.97%
Jackson County,100.00%,1,"$368,444",-136.54%,-228.56%
Jasper County,100.00%,2,"$381,644",-3.73%,-75.77%
Jefferson County,85.71%,56,"$105,359,757",2.64%,-37.51%
Jim Wells County,50.00%,4,"$53,945,012",12.06%,-21.49%
Johnson County,75.00%,20,"$14,892,191",11.13%,-13.40%
Karnes County,0.00%,3,"$142,153",64.09%,16.32%
Kaufman County,70.59%,17,"$14,150,911",14.83%,-27.00%
Kendall County,80.00%,10,"$1,677,961",10.26%,-15.08%
Kerr County,60.87%,23,"$8,185,814",7.16%,-15.72%
Kimble County,100.00%,1,"$113,480",22.77%,-10.56%
Kleberg County,100.00%,4,"$897,062",5.41%,-67.70%
La Salle County,100.00%,2,"$6,552,465",21.30%,-41.37%
Lamar County,72.73%,11,"$3,432,905",20.88%,-14.09%
Lamb County,100.00%,1,"$300,290",15.21%,-43.27%
Lampasas County,33.33%,3,"$425,510",21.63%,4.90%
Lavaca County,100.00%,4,"$1,680,096",-4.27%,-10.03%
Lee County,16.67%,6,"$6,590,379",14.85%,8.07%
Leon County,100.00%,1,"$920,784",-11.44%,-78.42%
Liberty County,100.00%,6,"$6,945,387",1.40%,-37.48%
Llano County,100.00%,4,"$1,290,107",-2.67%,-54.86%
Lubbock County,87.93%,58,"$110,849,174",2.12%,-44.24%
Madison County,0.00%,1,"$57,626",37.21%,28.54%
Marion County,100.00%,1,"$32,500",0.82%,-17.64%
Martin County,50.00%,2,"$23,299",35.93%,29.22%
Mason County,100.00%,1,"$165,106",4.56%,-60.78%
Matagorda County,81.82%,11,"$7,800,486",3.38%,-20.94%
Maverick County,100.00%,5,"$14,457,633",2.51%,-37.31%
McCulloch County,100.00%,3,"$478,276",17.48%,-40.05%
McLennan County,71.93%,57,"$126,941,856",7.58%,-18.56%
McMullen County,100.00%,1,"$470,600",-8.74%,-96.33%
Medina County,80.00%,5,"$1,190,924",6.86%,-34.99%
Menard County,100.00%,1,"$10,000",-28.53%,-46.00%
Midland County,74.29%,35,"$46,909,722",7.81%,-21.94%
Milam County,66.67%,3,"$813,262",9.38%,-28.19%
Montague County,71.43%,7,"$796,758",3.10%,-47.03%
Montgomery County,64.58%,48,"$346,140,291",3.09%,-11.68%
Moore County,100.00%,3,"$554,936",-5.58%,-47.41%
Motley County,50.00%,2,"$23,280",2.85%,-7.44%
Nacogdoches County,91.67%,12,"$37,295,916",0.62%,-62.03%
Navarro County,80.00%,5,"$7,772,565",6.27%,-60.02%
Newton County,100.00%,2,"$584,430",27.63%,-69.80%
Nolan County,66.67%,3,"$437,383",9.43%,-14.04%
Nueces County,79.63%,54,"$111,433,133",5.61%,-23.70%
Ochiltree County,100.00%,2,"$799,979",3.63%,-49.30%
Oldham County,0.00%,1,"$7,139",2.21%,1.16%
Orange County,75.00%,4,"$1,200,182",-2.41%,-77.96%
Palo Pinto County,80.00%,5,"$1,080,194",11.96%,-43.48%
Panola County,100.00%,5,"$763,423",2.98%,-77.63%
Parker County,66.67%,12,"$10,181,226",13.40%,-28.39%
Parmer County,100.00%,1,"$687,443",-1.75%,-7.15%
Pecos County,66.67%,3,"$6,445,206",17.66%,-51.56%
Polk County,60.00%,5,"$3,267,557",6.10%,-9.22%
Potter County,74.19%,31,"$46,924,875",3.20%,-19.40%
Presidio County,100.00%,3,"$3,416,415",-38.24%,-96.81%
Rains County,100.00%,1,"$242,928",-9.77%,-109.57%
Randall County,71.43%,7,"$16,748,645",24.56%,-8.82%
Real County,100.00%,1,"$15,925",-14.23%,-14.57%
Refugio County,100.00%,1,"$218,753",76.04%,-23.96%
Robertson County,100.00%,1,"$2,850",-4.35%,-6.41%
Rockwall County,100.00%,4,"$8,460,815",2.02%,-61.93%
Runnels County,100.00%,2,"$4,428",-19.56%,-21.69%
Rusk County,100.00%,4,"$5,363,828",-4.50%,-88.12%
San Augustine County,100.00%,1,"$428,259",-30.76%,-35.73%
San Jacinto County,100.00%,3,"$215,369",-22.64%,-34.28%
San Patricio County,100.00%,1,"$117,584",3.50%,-4.33%
San Saba County,100.00%,3,"$33,826,011",2.32%,-83.58%
Schleicher County,75.00%,4,"$238,522",9.08%,-37.98%
Scurry County,66.67%,3,"$2,173,290",1.78%,-61.76%
Shackelford County,100.00%,1,"$4,925,983",2.93%,-35.22%
Shelby County,80.00%,5,"$15,844,412",4.96%,-18.15%
Smith County,79.07%,43,"$86,172,950",4.55%,-24.33%
Somervell County,40.00%,5,"$2,950,817",15.66%,7.49%
Starr County,100.00%,1,"$160,139",1.93%,-79.69%
Stonewall County,100.00%,1,"$4,179,419",2.64%,-96.68%
Swisher County,100.00%,3,"$1,368,166",-2.86%,-58.71%
Tarrant County,75.12%,205,"$656,290,438",3.41%,-19.11%
Taylor County,68.18%,44,"$48,994,278",3.87%,-12.20%
Throckmorton County,100.00%,1,"$30,724",-8.64%,-15.93%
Titus County,100.00%,5,"$4,658,421",15.68%,-50.23%
Tom Green County,75.00%,28,"$95,253,269",3.91%,-35.18%
Travis County,76.76%,383,"$2,134,859,027",3.04%,-24.09%
Trinity County,66.67%,3,"$731,340",4.22%,-67.46%
Tyler County,50.00%,2,"$121,062",15.22%,1.97%
Upshur County,50.00%,2,"$56,312",13.55%,-22.13%
Upton County,100.00%,1,"$206,262",53.76%,-40.28%
Uvalde County,16.67%,6,"$7,606,872",56.58%,33.83%
Val Verde County,80.00%,5,"$537,991",8.75%,-16.29%
Van Zandt County,25.00%,4,"$1,664,352",24.06%,3.10%
Victoria County,89.47%,19,"$15,350,082",-2.17%,-16.79%
Walker County,92.31%,13,"$8,779,512",11.41%,-28.01%
Waller County,100.00%,5,"$4,263,739",0.43%,-21.50%
Ward County,100.00%,3,"$1,325,268",-1.18%,-58.48%
Washington County,50.00%,8,"$1,487,893",20.03%,-0.66%
Webb County,85.29%,34,"$103,447,839",5.81%,-42.73%
Wharton County,93.33%,15,"$2,211,082",3.03%,-29.23%
Wheeler County,100.00%,1,"$5,846",-20.00%,-28.93%
Wichita County,77.42%,31,"$19,247,053",1.89%,-25.79%
Wilbarger County,100.00%,3,"$353,764",-0.78%,-20.02%
Williamson County,62.71%,59,"$198,268,859",8.88%,-5.04%
Winkler County,100.00%,1,"$14,237",-15.67%,-39.41%
Wise County,75.00%,8,"$1,144,009",3.28%,-19.25%
Wood County,77.78%,9,"$9,085,994",1.65%,-27.41%
Young County,85.71%,7,"$1,123,374",7.33%,-37.97%
Zapata County,100.00%,1,"$116,174",-38.19%,-88.98%
Zavala County,100.00%,1,"$4,964,990",15.91%,-54.49%
