EIN2,CENSUS_REGION,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,CONGRESS_DISTRICT_NAME,SUBSECTOR,EXPENSE_CATEGORY,GOVERNMENT_GRANT_DOLLAR_AMOUNT,PROFIT_MARGIN,PROFIT_MARGIN_NOGOVTGRANT,AT_RISK_NUM
EIN-47-3584980,Mid-Atlantic,Onondaga County,New York,22nd Congressional district,Health,$1M to $4.9M,1376994,0.0711568534907443,-0.927157532086486,1
EIN-59-1887942,South Atlantic,Duval County,Florida,5th Congressional district,"Arts, culture, and humanities",$500K to $999K,169842,0.190359591800662,-0.0303784109754259,1
EIN-22-2986190,New England,Barnstable County,Massachusetts,9th Congressional district,Health,$100K to $499K,15000,0.0950274172390474,-0.0271891015456316,1
EIN-54-1267632,South Atlantic,Richmond city,Virginia,4th Congressional district,Health,$500K to $999K,347379,-0.304253997462487,-0.813190966921492,1
EIN-41-1651817,West North Central,Nobles County,Minnesota,1st Congressional district,Health,$100K to $499K,134224,0.151830817089529,-0.486619671413758,1
EIN-16-0821488,Mid-Atlantic,Erie County,New York,26th Congressional district,"International, foreign affairs",$500K to $999K,85350,-0.0298690564983628,-0.152763578872797,1
EIN-20-1917200,West South Central,Muskogee County,Oklahoma,2nd Congressional district,Human services,$100K to $499K,12239,-0.672603116274359,-0.849669420291952,1
EIN-90-0133398,New England,Plymouth County,Massachusetts,9th Congressional district,"Arts, culture, and humanities",$100K to $499K,11130,-0.0896209336434432,-0.15792283664615,1
EIN-27-3146118,South Atlantic,Fulton County,Georgia,7th Congressional district,Education,Less than $100K,275369,0.975596753586956,0.131918465889072,0
EIN-41-2006513,West North Central,Kanabec County,Minnesota,8th Congressional district,Human services,$100K to $499K,81135,-0.468466897573889,-1.11153294390857,1
EIN-66-0261701,Unmapped,San Juan Municipio,Other/unmapped jurisdictions,Resident commissioner district (at large),"Arts, culture, and humanities",$100K to $499K,121222,-0.0646267969214825,-0.646272767403029,1
EIN-91-1475182,Pacific,King County,Washington,7th Congressional district,Human services,$5M to $9.9M,556439,-0.034057904106549,-0.103393479349004,1
EIN-26-1559274,Pacific,Los Angeles County,California,30th Congressional district,"Public, societal benefit",$1M to $4.9M,1309117,0.138512803473066,-0.32081891982834,1
EIN-35-2508872,South Atlantic,Cobb County,Georgia,11th Congressional district,Human services,$1M to $4.9M,1292924,-0.055780917467308,-1.04986068225713,1
EIN-01-0329748,New England,Lincoln County,Maine,1st Congressional district,Unclassified,$100K to $499K,75000,0.398552642599883,0.147275316190636,0
EIN-86-2358048,East North Central,Genesee County,Michigan,8th Congressional district,Hospitals,$10M or more,13411853,-0.330519019347751,-0.433982494038153,1
EIN-25-1758844,Mid-Atlantic,Cumberland County,Pennsylvania,10th Congressional district,Human services,Less than $100K,90812,0.466624662848567,-0.176260291525376,1
EIN-95-4044568,Pacific,Los Angeles County,California,28th Congressional district,Human services,$1M to $4.9M,589730,0.42071399180873,0.349637573299477,0
EIN-52-0971440,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),Human services,$10M or more,6916458,0.0329500422323059,-0.53340569257911,1
EIN-54-1816368,South Atlantic,Winchester city,Virginia,6th Congressional district,Human services,$1M to $4.9M,751720,-0.012839783458686,-0.36429162854347,1
EIN-42-0938934,West North Central,Webster County,Iowa,4th Congressional district,Unclassified,$10M or more,7857275,0.171811884283183,-0.248841557113846,1
EIN-77-0131651,Pacific,Mono County,California,3rd Congressional district,"Arts, culture, and humanities",$100K to $499K,177034,0.00121743243747899,-0.4395329441201,1
EIN-13-3852957,Mid-Atlantic,Putnam County,New York,17th Congressional district,"Public, societal benefit",$5M to $9.9M,306544,-0.136910653816098,-0.190681671275576,1
EIN-84-1414532,Mountain,Lincoln County,Colorado,4th Congressional district,Human services,$1M to $4.9M,894012,0.0140530255525072,-0.649387513088675,1
EIN-75-0974342,West South Central,Dallas County,Texas,30th Congressional district,Environment and animals,$1M to $4.9M,57737,-0.209265847544344,-0.272998215091911,1
EIN-85-0627932,New England,South Central Connecticut Planning Region,Connecticut,3rd Congressional district,Environment and animals,$1M to $4.9M,10450,0.0144668677652107,0.0120559922944267,0
EIN-58-2278352,South Atlantic,Cobb County,Georgia,6th Congressional district,"Public, societal benefit",$500K to $999K,230921,0.114133726829305,-0.179110087863553,1
EIN-06-1351921,New England,Western Connecticut Planning Region,Connecticut,4th Congressional district,"Arts, culture, and humanities",$100K to $499K,17220,0.135846313735742,0.0809492536932778,0
EIN-26-0735564,Pacific,Los Angeles County,California,37th Congressional district,"Arts, culture, and humanities",$500K to $999K,81141,-0.0947837405301327,-0.207019562874939,1
EIN-82-1931555,Pacific,Los Angeles County,California,37th Congressional district,Human services,Less than $100K,103838,0.248402770109322,-0.570625167610544,1
EIN-88-1791795,South Atlantic,Orange County,Florida,10th Congressional district,Human services,Less than $100K,3300,0.265895953757225,-0.349431288457953,1
EIN-16-0743238,Mid-Atlantic,Chautauqua County,New York,23rd Congressional district,Unclassified,$1M to $4.9M,1044007,0.00189000516871265,-0.230303290450514,1
EIN-20-4631230,East South Central,Knox County,Tennessee,2nd Congressional district,Human services,$1M to $4.9M,912000,0.441057438115838,0.0235753767981598,0
EIN-54-1865280,South Atlantic,Norfolk city,Virginia,3rd Congressional district,"Public, societal benefit",$100K to $499K,60000,0.212532972125187,0.105596349896628,0
EIN-81-0454204,Mountain,Powell County,Montana,1st Congressional district,Human services,$100K to $499K,54200,0.205042697290931,-0.193956124852768,1
EIN-84-4261122,West North Central,Hennepin County,Minnesota,3rd Congressional district,Hospitals,$10M or more,412811,0.228469575696722,0.218196416231149,0
EIN-68-0333527,Pacific,Marin County,California,2nd Congressional district,Human services,$100K to $499K,147540,-0.00818054737750529,-0.671344261705599,1
EIN-88-4297407,East North Central,Genesee County,Michigan,8th Congressional district,"Public, societal benefit",$100K to $499K,1500000,0.9900931727122,0.870232221005056,0
EIN-81-0505222,Mountain,Silver Bow County,Montana,1st Congressional district,"Public, societal benefit",$500K to $999K,234164,-0.297486907812769,-0.771872815858513,1
EIN-11-2404466,Mid-Atlantic,Suffolk County,New York,2nd Congressional district,Health,$1M to $4.9M,1869273,0.207692978386897,-0.275934520863448,1
EIN-76-0586335,West South Central,Harris County,Texas,7th Congressional district,Human services,$1M to $4.9M,126577,0.105632188216751,-0.00471274157595264,1
EIN-13-4067116,East South Central,Davidson County,Tennessee,5th Congressional district,"Arts, culture, and humanities",$1M to $4.9M,33250,-0.181517080387262,-0.193012680424739,1
EIN-46-2536926,Mountain,Washington County,Utah,2nd Congressional district,Education,$1M to $4.9M,2880683,0.0910367247985565,-0.859915669201168,1
EIN-04-3145070,New England,Norfolk County,Massachusetts,8th Congressional district,Unclassified,$5M to $9.9M,3941754,0.177694003533119,-0.468496024257081,1
EIN-43-0816805,West North Central,St. Louis city,Missouri,1st Congressional district,Human services,$10M or more,8372716,-0.00122405837507491,-0.547879335840603,1
EIN-57-1030192,South Atlantic,Greenwood County,South Carolina,3rd Congressional district,Health,$5M to $9.9M,6100355,-0.0374329236628008,-1.03740718811798,1
EIN-23-7422794,East South Central,Jefferson County,Kentucky,3rd Congressional district,"Arts, culture, and humanities",$100K to $499K,32500,0.235279621247883,0.17887637797462,0
EIN-30-0681646,Mid-Atlantic,Dauphin County,Pennsylvania,10th Congressional district,Human services,$1M to $4.9M,3735224,-0.0113250724262482,-1.00109278641723,1
EIN-22-3311544,Mid-Atlantic,Monroe County,New York,25th Congressional district,Human services,$5M to $9.9M,2969169,0.0261972575597201,-0.52965348264006,1
EIN-84-1066206,Mountain,Gunnison County,Colorado,3rd Congressional district,Human services,$1M to $4.9M,180371,0.0984979716558664,0.00347083926031295,0
EIN-38-2074062,East North Central,Berrien County,Michigan,5th Congressional district,Unclassified,$100K to $499K,408175,0.163615380815742,-0.752836865101283,1
EIN-87-0212453,Mountain,Salt Lake County,Utah,2nd Congressional district,Human services,$10M or more,3632672,0.06771771682486,0.0448105699549786,0
EIN-13-4205044,Mid-Atlantic,Mercer County,New Jersey,3rd Congressional district,Human services,$1M to $4.9M,1814,-0.031189587119797,-0.0317478244439015,1
EIN-94-2344976,Pacific,Sacramento County,California,7th Congressional district,Unclassified,$1M to $4.9M,1269403,0.184198514505076,-0.487200657117031,1
EIN-47-0818266,West North Central,Buffalo County,Nebraska,3rd Congressional district,Human services,$100K to $499K,17105,-0.204538252602988,-0.398121321865097,1
EIN-58-2052891,South Atlantic,Fulton County,Georgia,5th Congressional district,Unclassified,$10M or more,27730220,-0.0124514823657104,-0.879524491303746,1
EIN-47-1717681,South Atlantic,Prince George's County,Maryland,5th Congressional district,Education,$1M to $4.9M,22000,-7.58402492882283,-7.68266415584998,1
EIN-41-1263433,West North Central,Douglas County,Minnesota,7th Congressional district,Health,$10M or more,298200,0.0218794512034958,0.00200431001301215,0
EIN-25-1605062,Mid-Atlantic,Beaver County,Pennsylvania,17th Congressional district,Unclassified,$10M or more,720000,0.0607281386657001,0.00303969998165988,0
EIN-71-0926680,West South Central,Nueces County,Texas,27th Congressional district,"Arts, culture, and humanities",$100K to $499K,450000,0.549132357199695,0.00160850341046525,0
EIN-16-6053004,Mid-Atlantic,Oneida County,New York,21st Congressional district,Unclassified,$100K to $499K,40060,-0.18398192343106,-0.286727007389131,1
EIN-87-2803740,West North Central,Bremer County,Iowa,2nd Congressional district,Education,$100K to $499K,111500,0.627403665791307,0.478011951337156,0
EIN-82-0457157,Mountain,Teton County,Idaho,2nd Congressional district,"Arts, culture, and humanities",$100K to $499K,54338,0.0943654339069938,-0.0648084950567558,1
EIN-87-4724148,West South Central,Tarrant County,Texas,24th Congressional district,Human services,$100K to $499K,234474,0.0493316956251013,-0.950668304374899,1
EIN-59-3038365,South Atlantic,Pinellas County,Florida,13th Congressional district,Education,$10M or more,690730,0.05193299198574,0.0133704616254168,0
EIN-23-2257823,Mid-Atlantic,Franklin County,Pennsylvania,13th Congressional district,Human services,$100K to $499K,143741,-0.21165333977891,-0.920704606778708,1
EIN-46-1310145,West South Central,Atascosa County,Texas,28th Congressional district,Human services,$1M to $4.9M,1037476,0.0235804214937524,-0.700552936594463,1
EIN-20-8989230,Mountain,Sheridan County,Wyoming,Congressional district (at large),Human services,Less than $100K,270,-0.073365686554382,-0.0763301785282944,1
EIN-47-5357211,South Atlantic,Henrico County,Virginia,1st Congressional district,Health,$5M to $9.9M,5998198,0.0560269485241756,-0.939652496436887,1
EIN-26-2224655,East North Central,Winnebago County,Illinois,17th Congressional district,Human services,$500K to $999K,250000,0.37425567120507,0.205550141982573,0
EIN-27-2413495,Pacific,Orange County,California,46th Congressional district,Universities,$100K to $499K,15000,0.0508525763824943,0.00643984591743377,0
EIN-41-1827519,West North Central,Crow Wing County,Minnesota,8th Congressional district,"Public, societal benefit",$100K to $499K,149382,0.00553550749359717,-0.712264128277698,1
EIN-48-0963983,West North Central,Republic County,Kansas,1st Congressional district,Environment and animals,Less than $100K,29265,0.70375818796252,0.584172050392491,0
EIN-57-0725560,South Atlantic,Richland County,South Carolina,6th Congressional district,Unclassified,$10M or more,18785961,0.0447595153919471,-0.32734351065415,1
EIN-06-6026029,New England,Capitol Planning Region,Connecticut,1st Congressional district,Education,$10M or more,11478604,0.329500489824743,-0.220001489771893,1
EIN-31-1002999,East South Central,Lyon County,Kentucky,1st Congressional district,Human services,$100K to $499K,176470,0.251656540391454,-0.287946012224916,1
EIN-75-3077559,Mountain,Salt Lake County,Utah,2nd Congressional district,"Arts, culture, and humanities",$10M or more,641777,0.0950319214258058,0.0658460526221246,0
EIN-82-3411188,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),"Arts, culture, and humanities",$100K to $499K,303073,-0.351414962522279,-1.2924659533376,1
EIN-87-3284104,Pacific,Maui County,Hawaii,2nd Congressional district,"Arts, culture, and humanities",Less than $100K,2375,2.19747589833479,2.28073619631902,0
EIN-56-2551312,South Atlantic,Orange County,Florida,11th Congressional district,Human services,$1M to $4.9M,208683,0.316272985095936,0.261705722786185,0
EIN-62-1615913,East South Central,Williamson County,Tennessee,5th Congressional district,Health,$1M to $4.9M,1488824,0.106104883660838,-0.466371768527519,1
EIN-31-1132675,East North Central,Franklin County,Ohio,3rd Congressional district,Human services,$100K to $499K,314336,0.103158976824774,-0.548317298724554,1
EIN-34-1191570,East North Central,Shelby County,Ohio,15th Congressional district,Human services,$100K to $499K,3894,0.490692180560181,0.478572251150833,0
EIN-33-0294311,Pacific,Riverside County,California,39th Congressional district,Environment and animals,$1M to $4.9M,247493,0.452774235217757,0.392087219149097,0
EIN-58-1755745,West South Central,Craighead County,Arkansas,1st Congressional district,Environment and animals,$500K to $999K,622917,0.130880519384706,-0.788248921022539,1
EIN-23-7090047,Pacific,Yamhill County,Oregon,6th Congressional district,"Arts, culture, and humanities",$100K to $499K,2733,0.0406968827445514,0.0339305741582965,0
EIN-81-5349740,West South Central,Travis County,Texas,35th Congressional district,"Public, societal benefit",$100K to $499K,78180,-0.0192668172873697,-0.247180234676773,1
EIN-26-0263301,New England,Hampden County,Massachusetts,1st Congressional district,Human services,Less than $100K,391451,0.951865914748089,0.0176532217069952,0
EIN-62-1717277,East South Central,Hamilton County,Tennessee,3rd Congressional district,Unclassified,$100K to $499K,23034,-0.56088851734639,-0.69842956947513,1
EIN-83-0281163,Mountain,Converse County,Wyoming,Congressional district (at large),Education,$100K to $499K,207762,-0.333531747921409,-1.32288402746693,1
EIN-52-1116655,South Atlantic,Baltimore County,Maryland,1st Congressional district,Human services,$100K to $499K,296508,0.405594053744997,-0.272526014865638,1
EIN-22-3260883,New England,Cumberland County,Maine,1st Congressional district,Human services,$1M to $4.9M,576166,-0.105685564893689,-0.330792880062918,1
EIN-30-0022798,South Atlantic,Prince George's County,Maryland,4th Congressional district,Unclassified,$1M to $4.9M,2043916,0.0343332805545786,-0.442991238259646,1
EIN-04-3061993,New England,Norfolk County,Massachusetts,4th Congressional district,Unclassified,$1M to $4.9M,234408,0.214140333364217,0.0973761839151915,0
EIN-23-7240238,Mid-Atlantic,Susquehanna County,Pennsylvania,9th Congressional district,Human services,$100K to $499K,61819,0.0870878878702398,-0.0491493300423131,1
EIN-77-0631194,West South Central,Travis County,Texas,37th Congressional district,Human services,$500K to $999K,172302,-0.0458307937003163,-0.322928745000474,1
EIN-13-1623881,Mid-Atlantic,New York County,New York,12th Congressional district,Unclassified,$10M or more,768864,0.34778914716899,0.313736158876033,0
EIN-54-1448142,South Atlantic,Fairfax County,Virginia,8th Congressional district,"Public, societal benefit",$1M to $4.9M,1314178,0.0642554231930091,-0.314661103057102,1
EIN-31-1668674,Mid-Atlantic,Philadelphia County,Pennsylvania,3rd Congressional district,"Arts, culture, and humanities",$500K to $999K,53963,-0.241662701741645,-0.326120299998748,1
EIN-64-0678510,East South Central,Harrison County,Mississippi,4th Congressional district,"Arts, culture, and humanities",$500K to $999K,150265,-0.37255577498129,-0.62025867326922,1
EIN-31-0971742,East South Central,Jefferson County,Kentucky,3rd Congressional district,Environment and animals,$500K to $999K,10827659,0.953223251082964,0.117474960337755,0
EIN-27-3583614,Mid-Atlantic,Philadelphia County,Pennsylvania,3rd Congressional district,Human services,$1M to $4.9M,425720,-0.443677763639632,-1.03699672344998,1
EIN-39-1372488,East North Central,Rusk County,Wisconsin,7th Congressional district,Unclassified,$1M to $4.9M,1385603,0.128411349445934,-0.683470482628017,1
EIN-73-0935488,West South Central,Marshall County,Oklahoma,2nd Congressional district,Unclassified,$500K to $999K,399124,-0.111729908394661,-0.557715386523578,1
EIN-04-2312091,New England,Essex County,Massachusetts,6th Congressional district,"Arts, culture, and humanities",$100K to $499K,28951,-0.345114681579918,-0.431881868831725,1
EIN-94-3465494,West South Central,Washington County,Oklahoma,2nd Congressional district,Human services,$100K to $499K,7264,-0.00653911952275212,-0.0421464390229555,1
EIN-58-1881913,West South Central,Orleans Parish,Louisiana,2nd Congressional district,"Public, societal benefit",$100K to $499K,70000,0.367818086569314,0.138625499312422,0
EIN-83-1362276,West North Central,Douglas County,Nebraska,2nd Congressional district,Hospitals,$10M or more,136261,0.159918589575317,0.159047569650432,0
EIN-81-0231775,Mountain,Lewis and Clark County,Montana,2nd Congressional district,Unclassified,$10M or more,2697543,-0.083007065595145,-0.330626287186352,1
EIN-81-2005897,Mountain,Clark County,Nevada,1st Congressional district,"Public, societal benefit",$100K to $499K,39815,-0.160136755586256,-0.314646507765265,1
EIN-46-4579289,West South Central,Harris County,Texas,18th Congressional district,Human services,$500K to $999K,655854,0.00381321575400723,-0.810551097215272,1
EIN-84-0942147,Mountain,Arapahoe County,Colorado,6th Congressional district,Health,$1M to $4.9M,4166117,0.0451848558735603,-0.834688552357439,1
EIN-27-0458242,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),"Public, societal benefit",$10M or more,45390,0.244500620746713,0.241586145100307,0
EIN-04-3545940,New England,Norfolk County,Massachusetts,8th Congressional district,"Public, societal benefit",Less than $100K,25000,0.261004013421936,0.0553983814724653,0
EIN-90-1013912,Mid-Atlantic,Queens County,New York,7th Congressional district,Education,$500K to $999K,393750,0.167369725823368,-0.479932401108674,1
EIN-88-0196071,Mountain,Washoe County,Nevada,2nd Congressional district,"Public, societal benefit",$500K to $999K,51381,-0.0105662182001813,-0.0964821633407911,1
EIN-37-0983795,East North Central,Macoupin County,Illinois,13th Congressional district,Health,$1M to $4.9M,2009216,0.0732226125138435,-0.299939843541204,1
EIN-95-3858285,Pacific,Los Angeles County,California,42nd Congressional district,Human services,$500K to $999K,469407,0.0727742981288129,-0.661692063844735,1
EIN-01-0287022,New England,Kennebec County,Maine,2nd Congressional district,"Arts, culture, and humanities",$500K to $999K,12368,-0.226167946073532,-0.252467731303294,1
EIN-65-0020461,South Atlantic,Miami-Dade County,Florida,27th Congressional district,Unclassified,$100K to $499K,45850,0.0903405073250406,-0.137975679470964,1
EIN-26-4633127,South Atlantic,District of Columbia,District of Columbia,Delegate district (at large),"Public, societal benefit",$1M to $4.9M,119000,0.0123151686072868,-0.011919672296074,1
EIN-46-4416506,East South Central,Escambia County,Alabama,1st Congressional district,"Public, societal benefit",$100K to $499K,263005,0.557472208531844,-0.0687256995783363,1
EIN-85-1050440,East North Central,Marquette County,Michigan,1st Congressional district,"Arts, culture, and humanities",Less than $100K,572,-0.0653937237584231,-0.0719376723220721,1
EIN-94-3327519,Pacific,San Francisco County,California,11th Congressional district,"International, foreign affairs",$500K to $999K,296328,-0.737121249889745,-1.30532407318635,1
EIN-87-3662215,South Atlantic,Miami-Dade County,Florida,27th Congressional district,"Arts, culture, and humanities",Less than $100K,7063,0.101142088677465,0.030258324802794,0
EIN-36-3611426,West North Central,Hennepin County,Minnesota,5th Congressional district,Unclassified,$1M to $4.9M,256809,-0.0451070684117077,-0.100202912082301,1
EIN-06-1426731,New England,South Central Connecticut Planning Region,Connecticut,3rd Congressional district,"Arts, culture, and humanities",$500K to $999K,93503,0.160053809740605,0.0318333159635564,0
