Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Perry County,100.00%,4,"$10,962,978",-1.27%,-73.21%
Pickaway County,90.00%,10,"$9,837,521",-2.07%,-28.77%
Pike County,60.00%,5,"$19,108,928",7.36%,-6.16%
Portage County,85.71%,21,"$43,985,415",0.53%,-17.01%
Preble County,71.43%,7,"$3,495,420",8.65%,-22.30%
Putnam County,100.00%,6,"$2,376,253",-0.93%,-13.74%
Richland County,79.41%,34,"$62,162,486",4.07%,-38.04%
Ross County,73.33%,15,"$33,996,597",-2.15%,-22.20%
Sandusky County,75.00%,12,"$58,778,170",7.62%,-34.78%
Scioto County,58.82%,17,"$3,412,150",22.43%,-9.45%
Seneca County,77.78%,18,"$12,202,161",2.67%,-24.53%
Shelby County,50.00%,12,"$3,381,179",25.58%,-3.25%
Stark County,78.49%,93,"$93,536,254",2.46%,-15.32%
Summit County,81.60%,163,"$257,616,925",0.00%,-44.21%
Trumbull County,74.07%,27,"$25,614,732",11.01%,-9.01%
Tuscarawas County,78.26%,23,"$16,040,167",4.84%,-17.91%
Union County,86.67%,15,"$10,096,975",1.82%,-15.04%
Van Wert County,91.67%,12,"$4,097,134",-1.95%,-17.07%
Vinton County,100.00%,3,"$525,594",16.10%,-29.73%
Warren County,68.18%,22,"$18,357,447",1.04%,-6.78%
Washington County,84.21%,19,"$36,737,617",5.04%,-28.74%
Wayne County,75.00%,28,"$26,327,229",4.19%,-10.76%
Williams County,87.50%,8,"$1,749,229",-1.44%,-9.58%
Wood County,88.89%,27,"$19,267,054",1.34%,-26.99%
Wyandot County,100.00%,2,"$1,131,221",9.77%,-31.07%
