Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Durham County,80.00%,110,"$1,915,060,055",0.40%,-28.73%
Edgecombe County,92.86%,14,"$5,200,316",0.53%,-29.38%
Forsyth County,84.62%,130,"$411,883,850",2.30%,-32.49%
Franklin County,100.00%,7,"$2,926,540",2.28%,-22.18%
Gaston County,70.97%,31,"$55,766,147",0.54%,-30.48%
Gates County,100.00%,1,"$1,666,450",17.53%,-46.14%
Graham County,100.00%,3,"$160,820",-1.93%,-3.51%
Granville County,91.67%,12,"$14,602,832",-10.79%,-82.37%
Greene County,100.00%,2,"$222,093",-9.40%,-65.27%
Guilford County,79.69%,128,"$212,518,044",3.55%,-28.24%
Halifax County,81.82%,11,"$16,340,914",8.15%,-11.28%
Harnett County,81.25%,16,"$23,038,715",11.29%,-44.80%
Haywood County,69.23%,13,"$24,176,817",3.96%,-27.56%
Henderson County,75.61%,41,"$48,157,074",5.90%,-11.83%
Hertford County,61.54%,13,"$7,476,172",5.72%,-6.83%
Hoke County,88.89%,9,"$3,688,593",7.24%,-83.72%
Hyde County,80.00%,10,"$11,248,318",5.94%,-45.01%
Iredell County,79.31%,29,"$58,498,999",5.18%,-35.14%
Jackson County,84.62%,26,"$28,434,344",3.67%,-40.24%
Johnston County,82.35%,34,"$44,548,814",6.91%,-47.81%
Jones County,75.00%,4,"$921,950",18.24%,-48.45%
Lee County,70.59%,17,"$12,000,184",3.04%,-30.26%
Lenoir County,94.12%,17,"$16,451,764",0.34%,-82.35%
Lincoln County,92.31%,13,"$33,929,215",8.43%,-49.42%
Macon County,84.21%,19,"$7,235,073",18.18%,-44.36%
Madison County,92.31%,13,"$4,012,994",6.51%,-13.64%
Martin County,100.00%,5,"$509,340",-9.61%,-38.16%
McDowell County,25.00%,12,"$1,606,707",21.34%,7.49%
Mecklenburg County,74.42%,215,"$353,839,613",4.08%,-22.92%
Mitchell County,92.31%,13,"$14,169,983",4.81%,-26.05%
Montgomery County,75.00%,8,"$4,021,441",17.61%,-47.38%
Moore County,87.88%,33,"$24,350,025",-5.44%,-47.99%
Nash County,92.31%,26,"$55,853,245",-0.58%,-64.54%
New Hanover County,74.19%,62,"$113,452,656",4.88%,-25.81%
Northampton County,75.00%,8,"$1,474,338",25.94%,-41.12%
Onslow County,89.29%,28,"$31,851,608",12.93%,-48.97%
Orange County,68.63%,51,"$96,539,372",3.49%,-18.32%
Pamlico County,66.67%,6,"$9,741,625",-1.40%,-41.35%
Pasquotank County,71.43%,14,"$21,620,874",7.58%,-34.97%
Pender County,83.33%,6,"$2,522,776",4.17%,-23.87%
Perquimans County,62.50%,8,"$809,701",28.70%,-24.81%
Person County,85.71%,7,"$5,101,555",0.81%,-50.53%
Pitt County,80.00%,40,"$23,068,896",1.45%,-53.80%
Polk County,57.14%,14,"$4,163,725",15.64%,-8.55%
Randolph County,68.18%,22,"$15,900,551",6.74%,-21.49%
Richmond County,50.00%,12,"$1,664,370",19.52%,6.48%
Robeson County,85.71%,35,"$52,520,965",5.38%,-59.44%
Rockingham County,94.12%,17,"$16,795,674",3.14%,-68.44%
Rowan County,65.79%,38,"$55,702,016",13.02%,-20.03%
Rutherford County,82.93%,41,"$151,713,567",4.89%,-39.02%
Sampson County,100.00%,5,"$3,421,077",9.92%,-49.64%
Scotland County,83.33%,6,"$3,382,582",3.59%,-46.99%
Stanly County,84.62%,26,"$22,153,805",4.99%,-80.76%
Stokes County,72.73%,11,"$2,485,541",0.05%,-61.71%
Surry County,84.38%,32,"$12,722,020",17.11%,-43.16%
Swain County,100.00%,6,"$5,657,095",2.35%,-44.41%
Transylvania County,58.33%,24,"$5,768,543",4.77%,-10.96%
Tyrrell County,100.00%,4,"$1,557,987",0.73%,-76.47%
Union County,85.71%,28,"$63,579,773",5.38%,-56.17%
Vance County,76.47%,17,"$16,626,573",-1.04%,-65.74%
Wake County,81.23%,277,"$1,531,057,033",2.28%,-33.77%
Warren County,90.91%,11,"$5,360,740",18.62%,-41.77%
Washington County,0.00%,2,"$308,449",19.72%,10.39%
Watauga County,70.37%,27,"$68,478,258",5.71%,-10.26%
Wayne County,79.17%,24,"$52,112,158",4.16%,-59.63%
Wilkes County,86.96%,23,"$11,214,026",5.83%,-46.53%
Wilson County,77.78%,18,"$22,590,761",11.47%,-25.80%
Yadkin County,81.82%,11,"$11,577,252",10.97%,-25.74%
Yancey County,50.00%,12,"$1,933,524",10.95%,-1.16%
