Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Lee County,100.00%,2,"$5,762,586",-17.25%,-56.54%
Leslie County,100.00%,1,"$744,330",24.74%,-20.55%
Letcher County,100.00%,3,"$13,669,587",-3.97%,-49.29%
Lewis County,100.00%,1,"$466,741",-20.70%,-51.94%
Lincoln County,66.67%,3,"$1,379,959",-0.95%,-36.55%
Livingston County,33.33%,3,"$786,253",6.35%,1.94%
Logan County,50.00%,2,"$92,550",11.30%,-13.40%
Lyon County,100.00%,1,"$176,470",25.17%,-28.79%
Madison County,72.22%,18,"$33,208,757",6.03%,-18.97%
Marion County,66.67%,3,"$22,137,574",5.10%,-36.14%
Marshall County,100.00%,6,"$1,141,880",-8.07%,-19.57%
Martin County,100.00%,2,"$773,544",54.66%,-41.04%
Mason County,87.50%,8,"$3,401,134",3.64%,-41.86%
McCracken County,47.06%,17,"$7,053,200",7.92%,3.53%
McCreary County,100.00%,1,"$157,234",5.54%,-3.02%
Meade County,100.00%,2,"$672,321",44.16%,-47.21%
Menifee County,100.00%,1,"$418,050",-18.65%,-28.54%
Mercer County,100.00%,3,"$95,958",-17.07%,-26.08%
Metcalfe County,100.00%,1,"$33,500",-1.25%,-28.81%
Monroe County,100.00%,1,"$906,491",-8.71%,-13.06%
Montgomery County,77.78%,9,"$7,616,971",8.66%,-13.18%
Morgan County,100.00%,2,"$18,325,015",-2.41%,-94.95%
Muhlenberg County,50.00%,2,"$2,942,484",44.79%,32.94%
Nelson County,57.14%,7,"$1,047,467",13.78%,-9.26%
Oldham County,50.00%,6,"$5,939,992",18.80%,-3.46%
Owen County,0.00%,1,"$11,500",30.27%,13.42%
Owsley County,100.00%,3,"$2,303,895",8.98%,-61.54%
Pendleton County,50.00%,2,"$26,500",-3.15%,-14.28%
Perry County,83.33%,12,"$64,981,549",-2.16%,-36.00%
Pike County,72.73%,11,"$10,775,650",6.15%,-13.81%
Powell County,100.00%,1,"$141,794",-2.51%,-86.19%
Pulaski County,81.82%,11,"$21,189,336",5.85%,-50.24%
Rowan County,100.00%,8,"$5,165,218",-4.39%,-91.03%
Russell County,100.00%,4,"$17,440,336",0.90%,-67.01%
Scott County,57.14%,7,"$1,515,873",14.31%,-2.45%
Shelby County,62.50%,8,"$3,000,454",8.97%,-18.30%
Simpson County,75.00%,8,"$2,304,609",0.23%,-43.24%
Taylor County,100.00%,2,"$5,801,408",-1.36%,-20.29%
Todd County,0.00%,2,"$17,697",32.43%,31.17%
Trigg County,33.33%,3,"$3,062,470",17.59%,11.93%
Trimble County,100.00%,1,"$37,900",-27.35%,-67.61%
Union County,100.00%,2,"$174,053",-3.04%,-4.75%
Warren County,80.65%,31,"$63,806,651",8.50%,-39.08%
Washington County,100.00%,1,"$2,175,251",1.83%,-4.68%
Webster County,100.00%,2,"$4,010,246",9.84%,-3.84%
Whitley County,100.00%,4,"$7,847,362",4.10%,-48.14%
Wolfe County,100.00%,1,"$3,674",-40.39%,-47.21%
Woodford County,0.00%,1,"$1,341,942",8.59%,5.73%
