Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Kittson County,100.00%,2,"$209,923",3.83%,-49.88%
Koochiching County,88.89%,9,"$1,116,140",4.69%,-20.89%
Lac qui Parle County,80.00%,5,"$214,841",-9.13%,-59.24%
Lake County,73.33%,15,"$3,594,216",4.62%,-30.02%
Lake of the Woods County,100.00%,2,"$168,599",23.04%,-32.45%
Le Sueur County,60.00%,5,"$677,534",3.96%,-1.19%
Lincoln County,33.33%,3,"$5,368,998",3.74%,1.49%
Lyon County,100.00%,10,"$38,906,509",3.90%,-47.71%
Mahnomen County,66.67%,3,"$11,182,838",19.11%,-45.83%
Marshall County,66.67%,6,"$918,126",-1.25%,-14.53%
Martin County,54.55%,11,"$4,536,563",7.76%,-9.66%
McLeod County,54.55%,11,"$10,872,285",2.02%,-38.58%
Meeker County,62.50%,8,"$2,821,906",8.48%,-11.73%
Mille Lacs County,83.33%,6,"$862,785",-5.51%,-24.88%
Morrison County,72.73%,22,"$16,852,398",4.54%,-24.31%
Mower County,66.67%,15,"$4,461,423",3.56%,-6.41%
Murray County,80.00%,5,"$1,676,234",2.65%,-11.02%
Nicollet County,77.78%,9,"$2,259,320",-3.18%,-12.58%
Nobles County,87.50%,8,"$4,096,683",5.05%,-33.89%
Norman County,0.00%,3,"$69,386",86.60%,57.20%
Olmsted County,73.33%,60,"$502,171,011",1.98%,-14.73%
Otter Tail County,55.00%,20,"$11,742,860",6.81%,-8.53%
Pennington County,100.00%,3,"$2,154,130",-0.14%,-51.95%
Pine County,60.00%,10,"$1,110,123",3.99%,-11.20%
Pipestone County,25.00%,4,"$1,881,284",15.11%,3.79%
Polk County,90.91%,11,"$46,388,454",2.02%,-34.39%
Pope County,66.67%,6,"$2,755,789",5.30%,-18.32%
Ramsey County,82.48%,508,"$1,040,375,558",0.44%,-44.55%
Red Lake County,100.00%,1,"$5,004,812",-2.15%,-101.55%
Redwood County,42.86%,7,"$831,157",3.29%,2.66%
Renville County,66.67%,9,"$854,008",4.82%,-4.75%
Rice County,71.88%,32,"$28,651,529",5.10%,-17.26%
Rock County,66.67%,6,"$800,424",3.86%,-6.07%
Roseau County,80.00%,5,"$14,375,276",-0.76%,-13.21%
Scott County,86.67%,15,"$15,001,073",8.75%,-29.73%
Sherburne County,66.67%,15,"$13,106,796",3.38%,-8.13%
Sibley County,50.00%,8,"$5,750,653",7.67%,2.55%
St. Louis County,77.78%,126,"$153,908,043",5.48%,-17.45%
Stearns County,75.47%,53,"$77,141,438",3.10%,-20.35%
Steele County,76.47%,17,"$5,376,951",0.80%,-9.96%
Stevens County,50.00%,4,"$259,554",3.32%,-1.96%
Swift County,60.00%,5,"$526,729",0.09%,-12.82%
Todd County,42.86%,7,"$2,176,800",2.85%,0.73%
Traverse County,100.00%,1,"$295,858",2.85%,-91.89%
Wabasha County,20.00%,5,"$826,643",6.77%,5.56%
Wadena County,100.00%,4,"$2,073,287",2.53%,-10.16%
Waseca County,83.33%,12,"$4,890,575",-1.03%,-25.23%
Washington County,66.67%,42,"$65,459,932",4.70%,-13.22%
Wilkin County,100.00%,1,"$5,986",0.01%,-0.67%
Winona County,68.18%,22,"$13,737,460",3.63%,-10.35%
Wright County,75.00%,16,"$20,086,213",7.67%,-42.52%
Yellow Medicine County,60.00%,5,"$1,922,904",4.68%,-26.38%
