Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Poquoson city,100.00%,1,"$13,235",-36.70%,-50.75%
Portsmouth city,100.00%,8,"$4,482,485",5.16%,-57.76%
Powhatan County,0.00%,3,"$273,310",26.06%,21.57%
Prince Edward County,81.25%,16,"$20,517,284",-0.17%,-34.80%
Prince George County,0.00%,1,"$4,439",2.89%,0.87%
Prince William County,87.18%,39,"$50,809,961",-0.31%,-43.25%
Pulaski County,100.00%,6,"$1,838,269",2.13%,-19.67%
Radford city,100.00%,3,"$8,893,631",-8.82%,-85.46%
Rappahannock County,66.67%,9,"$1,820,791",9.26%,-33.88%
Richmond County,100.00%,3,"$2,685,821",2.53%,-61.41%
Richmond city,75.19%,129,"$186,109,320",3.79%,-22.43%
Roanoke County,77.78%,9,"$3,661,253",-1.98%,-11.37%
Roanoke city,72.58%,62,"$57,456,274",-0.03%,-15.59%
Rockbridge County,88.89%,9,"$4,234,157",3.64%,-8.75%
Rockingham County,62.50%,16,"$2,199,478",5.60%,-8.56%
Russell County,66.67%,6,"$2,564,163",6.29%,-46.79%
Salem city,37.50%,8,"$9,996,960",6.88%,1.85%
Scott County,90.91%,11,"$6,291,956",-0.22%,-62.61%
Shenandoah County,85.00%,20,"$9,044,254",4.34%,-18.65%
Smyth County,90.91%,11,"$7,540,341",0.50%,-64.08%
Southampton County,62.50%,8,"$4,735,345",11.58%,-9.75%
Spotsylvania County,85.71%,7,"$12,276,694",-2.19%,-16.31%
Stafford County,84.62%,13,"$5,597,913",2.00%,-33.00%
Staunton city,57.89%,19,"$2,459,053",4.99%,-3.30%
Suffolk city,88.89%,9,"$1,942,800",0.92%,-35.57%
Surry County,100.00%,1,"$43,048",1.86%,-3.67%
Sussex County,66.67%,3,"$752,957",3.74%,-0.27%
Tazewell County,100.00%,10,"$7,701,957",-0.48%,-33.59%
Virginia Beach city,66.67%,42,"$16,636,755",3.12%,-9.13%
Warren County,70.00%,10,"$5,625,072",28.15%,-28.83%
Washington County,78.26%,23,"$28,547,611",0.16%,-24.96%
Waynesboro city,90.00%,10,"$4,344,981",-2.50%,-25.59%
Westmoreland County,83.33%,6,"$1,137,634",14.35%,-62.64%
Williamsburg city,58.33%,12,"$87,220,865",4.72%,-8.16%
Winchester city,54.17%,24,"$16,426,300",6.86%,-3.21%
Wise County,58.33%,12,"$7,400,038",8.16%,-9.18%
Wythe County,80.00%,5,"$1,746,018",3.82%,-39.96%
York County,100.00%,4,"$1,629,191",-3.65%,-17.81%
