Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Dickinson County,50.00%,6,"$1,186,925",17.37%,-26.37%
Dubuque County,57.78%,45,"$21,013,693",7.08%,-4.29%
Emmet County,0.00%,1,"$13,210",16.85%,16.81%
Fayette County,60.00%,10,"$1,194,710",3.94%,-6.14%
Floyd County,83.33%,6,"$294,386",12.82%,-10.49%
Franklin County,100.00%,5,"$364,357",-3.62%,-11.45%
Fremont County,66.67%,3,"$503,707",4.87%,-4.49%
Greene County,50.00%,2,"$192,365",9.21%,-8.88%
Grundy County,75.00%,4,"$116,555",-4.94%,-9.02%
Guthrie County,50.00%,2,"$1,423,723",30.68%,-16.17%
Hamilton County,66.67%,3,"$191,174",33.18%,-27.37%
Hancock County,100.00%,5,"$191,957",-8.67%,-13.25%
Hardin County,83.33%,6,"$1,086,573",-1.34%,-27.47%
Harrison County,100.00%,5,"$201,070",-19.24%,-34.07%
Henry County,75.00%,8,"$537,321",-4.61%,-14.59%
Howard County,60.00%,5,"$104,372",0.09%,-0.33%
Humboldt County,40.00%,5,"$200,987",3.30%,3.21%
Ida County,75.00%,4,"$1,153,674",-0.72%,-15.86%
Iowa County,71.43%,7,"$1,178,534",0.35%,-28.44%
Jackson County,60.00%,5,"$2,352,018",8.34%,-18.83%
Jasper County,72.73%,11,"$1,151,443",-1.37%,-22.54%
Jefferson County,87.50%,8,"$1,468,280",-5.92%,-12.18%
Johnson County,73.21%,56,"$23,388,240",2.11%,-15.72%
Jones County,50.00%,4,"$2,133,618",14.55%,-2.32%
Kossuth County,50.00%,6,"$208,549",-9.14%,-11.37%
Lee County,60.00%,10,"$1,458,351",45.05%,-15.35%
Linn County,73.91%,69,"$85,771,027",1.30%,-10.17%
Lucas County,100.00%,5,"$4,847,811",-1.40%,-33.32%
Lyon County,100.00%,5,"$659,910",-1.35%,-10.22%
Madison County,71.43%,7,"$622,551",23.43%,-0.93%
Mahaska County,83.33%,6,"$1,901,991",5.20%,-14.54%
Marion County,71.43%,7,"$1,158,991",6.33%,-18.47%
Marshall County,62.50%,8,"$17,092,825",3.83%,-5.37%
Mitchell County,50.00%,6,"$1,397,228",27.63%,2.83%
Monona County,50.00%,2,"$714,965",10.51%,6.64%
Monroe County,66.67%,3,"$396,087",8.09%,-26.05%
Montgomery County,50.00%,4,"$121,913",34.59%,12.19%
Muscatine County,60.00%,15,"$4,696,238",4.80%,-5.65%
O'Brien County,70.00%,10,"$215,988",-14.09%,-15.52%
Osceola County,0.00%,3,"$341,739",23.53%,20.45%
Page County,44.44%,9,"$2,282,969",7.40%,1.49%
Palo Alto County,60.00%,5,"$16,742,249",12.41%,-7.38%
Plymouth County,85.71%,7,"$15,281,401",8.56%,-13.89%
Pocahontas County,0.00%,1,"$19,059",0.89%,0.35%
Polk County,78.53%,191,"$338,638,576",1.55%,-23.87%
Pottawattamie County,75.00%,20,"$20,251,136",3.68%,-16.99%
Poweshiek County,50.00%,6,"$2,166,523",4.78%,4.06%
Ringgold County,50.00%,2,"$899,227",44.79%,1.75%
Sac County,66.67%,6,"$362,513",5.43%,-2.65%
Scott County,71.05%,38,"$68,095,083",8.47%,-19.20%
Shelby County,90.00%,10,"$14,055,636",-8.78%,-18.23%
Sioux County,33.33%,21,"$9,808,047",11.26%,7.86%
Story County,65.79%,38,"$40,597,758",5.93%,-13.31%
Tama County,100.00%,3,"$105,287",-2.55%,-18.91%
Taylor County,100.00%,2,"$44,549",-11.63%,-18.93%
Union County,87.50%,8,"$4,733,158",2.42%,-8.53%
Wapello County,77.78%,9,"$20,862,220",1.70%,-16.79%
Warren County,37.50%,8,"$1,715,388",16.01%,3.89%
Washington County,81.82%,11,"$3,775,346",2.28%,-15.69%
Wayne County,75.00%,4,"$161,503",3.36%,-12.75%
Webster County,78.57%,14,"$18,018,278",3.50%,-40.76%
Winnebago County,88.89%,9,"$585,053",-2.26%,-18.69%
Winneshiek County,75.00%,12,"$20,490,935",0.56%,-5.94%
Woodbury County,68.42%,38,"$37,566,076",4.30%,-12.16%
Worth County,66.67%,3,"$39,186",-10.65%,-11.02%
Wright County,80.00%,5,"$1,967,341",16.02%,-14.19%
