Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
Colorado County,100.00%,2,"$208,850",-2.00%,-3.41%
Comal County,69.57%,23,"$43,541,292",5.54%,-24.15%
Comanche County,33.33%,3,"$279,447",5.66%,5.55%
Concho County,100.00%,1,"$3,265,522",21.92%,-5.43%
Cooke County,72.73%,11,"$5,324,865",13.80%,-12.97%
Coryell County,100.00%,3,"$371,190",-2.16%,-67.32%
Dallam County,75.00%,4,"$353,674",22.37%,-26.92%
Dallas County,79.48%,346,"$1,420,610,214",0.68%,-27.25%
Dawson County,100.00%,1,"$29,214,207",-0.14%,-83.94%
DeWitt County,75.00%,4,"$102,501",10.04%,-6.60%
Deaf Smith County,100.00%,7,"$934,135",-2.03%,-48.65%
Denton County,86.67%,45,"$93,741,656",2.06%,-25.41%
Dimmit County,100.00%,3,"$3,964,374",-5.95%,-25.21%
Donley County,100.00%,1,"$81,500",4.99%,-21.53%
Eastland County,66.67%,3,"$141,837",12.89%,-10.80%
Ector County,83.33%,18,"$21,793,752",1.72%,-54.36%
El Paso County,89.87%,79,"$330,495,128",1.00%,-46.44%
Ellis County,94.44%,18,"$16,171,193",7.58%,-53.53%
Erath County,70.00%,10,"$3,335,199",11.62%,-38.69%
Falls County,100.00%,2,"$804,484",8.59%,-9.70%
Fannin County,100.00%,3,"$1,008,779",-9.18%,-64.26%
Fayette County,53.85%,13,"$3,767,858",31.81%,-1.07%
Fisher County,100.00%,1,"$403,260",8.62%,-32.98%
Floyd County,66.67%,3,"$476,061",6.50%,-5.42%
Foard County,50.00%,2,"$670,111",41.86%,-19.39%
Fort Bend County,76.32%,38,"$33,577,886",9.64%,-39.16%
Franklin County,100.00%,1,"$1,751,660",0.09%,-97.89%
Freestone County,100.00%,3,"$45,153",-89.39%,-90.85%
Frio County,0.00%,1,"$391,260",11.21%,10.09%
Gaines County,100.00%,1,"$367,836",-5.23%,-92.30%
Galveston County,90.48%,42,"$79,012,031",-0.47%,-35.58%
Garza County,50.00%,2,"$306,347",19.90%,-17.53%
Gillespie County,50.00%,16,"$4,297,508",18.70%,-1.08%
Goliad County,33.33%,3,"$226,045",2.24%,0.81%
Gonzales County,100.00%,4,"$858,891",7.25%,-28.59%
Gray County,100.00%,4,"$1,422,426",-31.43%,-94.55%
Grayson County,80.00%,20,"$14,057,390",-0.83%,-27.16%
Gregg County,70.59%,34,"$34,002,716",8.62%,-24.33%
Grimes County,66.67%,3,"$132,678",27.75%,-12.53%
Guadalupe County,78.95%,19,"$25,103,201",7.27%,-28.50%
Hale County,85.71%,7,"$9,597,629",5.06%,-70.60%
Hamilton County,0.00%,1,"$16,395",76.12%,70.55%
Hardin County,33.33%,3,"$56,266",50.89%,14.73%
Harris County,77.01%,461,"$2,748,235,483",2.13%,-23.21%
Harrison County,72.73%,11,"$6,079,597",-0.73%,-11.89%
Hartley County,100.00%,1,"$461,455",3.78%,-82.19%
Haskell County,100.00%,2,"$486,835",-7.45%,-58.01%
Hays County,68.75%,32,"$71,687,819",8.89%,-12.08%
Hemphill County,100.00%,4,"$609,361",-5.99%,-40.26%
Henderson County,100.00%,6,"$3,121,908",-0.20%,-62.04%
Hidalgo County,90.32%,62,"$391,910,038",0.97%,-61.23%
Hill County,50.00%,4,"$273,136",7.81%,-0.74%
Hockley County,100.00%,5,"$68,918,172",2.51%,-32.89%
Hood County,92.31%,13,"$4,751,029",-8.36%,-37.11%
Hopkins County,100.00%,1,"$224,380",9.56%,-58.71%
Houston County,66.67%,3,"$2,271,643",24.13%,-39.05%
Howard County,100.00%,4,"$685,951",20.65%,-33.94%
Hunt County,90.00%,10,"$13,071,371",-5.54%,-44.80%
Hutchinson County,100.00%,5,"$2,059,545",1.82%,-40.29%
Jack County,100.00%,2,"$351,593",23.79%,-32.95%
Jackson County,100.00%,2,"$392,805",-218.89%,-306.21%
Jasper County,100.00%,2,"$403,239",23.20%,-60.54%
Jeff Davis County,100.00%,1,$779,-0.21%,-0.53%
Jefferson County,89.36%,47,"$109,279,144",2.70%,-31.30%
Jim Wells County,66.67%,3,"$53,231,391",13.63%,-45.98%
Johnson County,68.75%,16,"$10,556,625",9.03%,-23.15%
Karnes County,0.00%,3,"$258,750",75.87%,12.03%
Kaufman County,64.29%,14,"$3,425,308",15.60%,-31.64%
Kendall County,83.33%,12,"$1,419,783",-0.38%,-27.10%
Kerr County,68.75%,16,"$10,534,984",2.78%,-11.49%
Kimble County,100.00%,1,"$132,704",21.09%,-12.49%
Kleberg County,100.00%,5,"$1,164,641",14.47%,-55.81%
La Salle County,100.00%,2,"$5,690,030",19.30%,-42.19%
Lamar County,70.00%,10,"$3,512,974",0.17%,-48.81%
Lamb County,0.00%,1,"$134,500",33.87%,1.75%
Lampasas County,50.00%,2,"$205,702",-3.16%,-6.25%
Lavaca County,100.00%,2,"$219,882",10.81%,-6.66%
Lee County,60.00%,5,"$6,922,487",7.98%,-21.54%
Leon County,100.00%,2,"$1,209,431",3.57%,-70.83%
Liberty County,100.00%,3,"$6,261,313",-2.96%,-64.46%
Limestone County,66.67%,3,"$1,874,568",11.61%,-9.19%
Llano County,75.00%,4,"$1,908,338",46.60%,-18.18%
Lubbock County,88.00%,50,"$74,508,443",2.94%,-47.50%
Madison County,0.00%,1,"$5,870",17.52%,16.51%
Marion County,100.00%,1,"$32,500",-40.75%,-66.09%
Martin County,0.00%,1,"$11,900",80.75%,79.55%
Mason County,100.00%,2,"$178,823",-5.88%,-45.63%
Matagorda County,77.78%,9,"$4,560,042",-3.19%,-67.93%
Maverick County,100.00%,3,"$12,044,520",-6.07%,-33.88%
McCulloch County,66.67%,3,"$108,111",28.26%,-41.14%
McLennan County,70.59%,51,"$126,070,918",2.95%,-34.98%
McMullen County,100.00%,1,"$470,600",-5.30%,-93.24%
Medina County,83.33%,6,"$1,702,988",-5.06%,-72.77%
Menard County,100.00%,1,"$10,000",-36.99%,-54.54%
Midland County,76.47%,34,"$48,170,600",2.31%,-24.88%
Milam County,100.00%,2,"$402,819",-17.52%,-55.33%
Montague County,71.43%,7,"$891,885",1.68%,-34.15%
Montgomery County,65.12%,43,"$79,314,334",4.70%,-6.83%
Moore County,100.00%,4,"$823,300",-7.57%,-70.07%
Motley County,100.00%,1,$900,-47.19%,-47.81%
Nacogdoches County,87.50%,8,"$10,281,783",-2.35%,-56.90%
Navarro County,100.00%,7,"$5,234,903",5.47%,-22.96%
Newton County,100.00%,1,"$48,812",-74.50%,-135.87%
Nolan County,66.67%,3,"$311,520",-4.83%,-6.37%
Nueces County,85.71%,49,"$112,738,744",4.61%,-28.61%
Ochiltree County,100.00%,2,"$1,021,793",34.09%,-20.58%
Oldham County,100.00%,1,"$7,259",-2.20%,-3.27%
Orange County,100.00%,2,"$399,663",-7.46%,-53.12%
Palo Pinto County,83.33%,6,"$1,245,232",10.98%,-48.07%
Panola County,80.00%,5,"$753,020",-2.83%,-72.34%
Parker County,91.67%,12,"$8,609,518",2.06%,-37.75%
Parmer County,100.00%,1,"$45,124",-4.48%,-4.83%
Pecos County,100.00%,2,"$3,903,063",-10.60%,-87.20%
Polk County,75.00%,4,"$601,400",17.06%,-17.32%
Potter County,77.78%,27,"$45,527,904",3.32%,-23.87%
Presidio County,50.00%,2,"$1,367,595",9.85%,-36.14%
Randall County,85.71%,7,"$16,788,022",0.94%,-18.29%
Real County,0.00%,1,"$21,464",18.87%,2.01%
Red River County,100.00%,1,"$97,500",18.86%,-43.16%
Refugio County,100.00%,1,"$80,068",18.07%,-81.93%
Rockwall County,42.86%,7,"$9,963,350",22.40%,3.11%
Runnels County,100.00%,1,"$4,166",-37.03%,-39.80%
Rusk County,100.00%,5,"$4,875,477",-10.79%,-91.73%
San Jacinto County,100.00%,2,"$176,150",-6.39%,-28.78%
San Patricio County,100.00%,1,"$224,229",4.74%,-8.71%
San Saba County,100.00%,3,"$23,035,473",3.98%,-74.47%
Schleicher County,100.00%,4,"$318,262",-7.56%,-54.87%
Scurry County,100.00%,2,"$2,302,379",-1.52%,-80.42%
Shelby County,100.00%,5,"$12,952,731",-1.99%,-50.88%
Smith County,78.57%,42,"$55,385,927",3.77%,-24.22%
Somervell County,66.67%,3,"$2,357,745",15.45%,-78.46%
Starr County,100.00%,3,"$376,049",11.54%,-72.00%
Stonewall County,100.00%,1,"$3,563,771",11.02%,-86.32%
Swisher County,100.00%,2,"$604,164",-16.24%,-49.90%
Tarrant County,80.65%,186,"$862,177,791",0.63%,-28.47%
Taylor County,70.73%,41,"$50,738,823",7.29%,-21.98%
Titus County,100.00%,5,"$4,989,155",10.19%,-59.72%
Tom Green County,80.95%,21,"$88,473,140",6.12%,-27.82%
Travis County,82.19%,365,"$2,218,233,314",0.60%,-28.55%
Trinity County,50.00%,2,"$76,315",13.48%,-12.35%
Tyler County,0.00%,2,"$56,823",23.51%,17.78%
Upshur County,100.00%,2,"$86,930",-516.04%,-604.99%
Uvalde County,71.43%,7,"$6,958,394",-6.55%,-49.50%
Val Verde County,80.00%,5,"$498,929",9.19%,-14.89%
Van Zandt County,100.00%,1,"$434,475",10.94%,-53.59%
Victoria County,77.78%,18,"$14,105,155",3.95%,-12.55%
Walker County,76.92%,13,"$6,442,694",1.09%,-36.85%
Waller County,100.00%,2,"$1,330,735",-4.87%,-51.14%
Ward County,66.67%,3,"$1,435,585",5.40%,-55.09%
Washington County,75.00%,8,"$1,050,745",1.11%,-25.75%
Webb County,75.76%,33,"$102,174,717",4.55%,-37.60%
Wharton County,75.00%,16,"$15,031,855",1.47%,-20.83%
Wheeler County,100.00%,1,"$5,872",-3.47%,-11.17%
Wichita County,71.88%,32,"$14,513,261",4.06%,-16.46%
Wilbarger County,33.33%,3,"$318,982",31.06%,19.09%
Williamson County,64.91%,57,"$206,253,318",8.23%,-7.88%
Winkler County,100.00%,1,"$5,023",-21.58%,-26.62%
Wise County,87.50%,8,"$1,067,566",-1.04%,-33.92%
Wood County,83.33%,6,"$1,401,115",7.61%,-40.53%
Young County,87.50%,8,"$1,431,943",3.83%,-38.25%
Zavala County,100.00%,1,"$4,595,862",6.95%,-62.31%
