Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
McHenry County,87.50%,32,"$24,258,681",2.91%,-21.88%
McLean County,75.00%,40,"$378,237,483",2.49%,-30.96%
Menard County,0.00%,1,"$264,337",32.97%,0.46%
Mercer County,100.00%,4,"$1,256,644",27.23%,-41.90%
Monroe County,75.00%,4,"$5,222,378",12.54%,-12.35%
Montgomery County,66.67%,3,"$409,055",13.01%,-64.08%
Morgan County,69.23%,13,"$7,836,358",8.20%,-32.27%
Moultrie County,80.00%,5,"$2,679,091",9.51%,-14.53%
Ogle County,62.50%,8,"$1,529,972",3.49%,-25.50%
Peoria County,80.56%,72,"$114,301,984",2.07%,-27.22%
Perry County,85.71%,7,"$7,729,134",0.60%,-80.63%
Piatt County,0.00%,2,"$150,000",49.34%,45.12%
Pike County,0.00%,2,"$206,954",24.07%,15.57%
Pope County,100.00%,1,"$235,426",-16.97%,-114.77%
Pulaski County,100.00%,2,"$4,459,409",-8.22%,-57.23%
Putnam County,100.00%,2,"$168,886",-145.84%,-196.74%
Randolph County,100.00%,3,"$14,832,547",-0.49%,-50.18%
Richland County,100.00%,2,"$3,299,012",-7.30%,-56.08%
Rock Island County,86.11%,36,"$65,600,804",1.57%,-25.29%
Saline County,50.00%,4,"$1,935,219",6.67%,-8.78%
Sangamon County,75.00%,84,"$196,970,663",1.92%,-45.57%
Schuyler County,33.33%,3,"$266,758",12.13%,4.19%
St. Clair County,85.71%,42,"$115,101,728",2.49%,-45.43%
Stark County,0.00%,1,"$4,000",15.06%,12.83%
Stephenson County,78.57%,14,"$14,287,961",3.13%,-21.77%
Tazewell County,84.62%,13,"$26,200,959",-0.02%,-30.36%
Union County,100.00%,2,"$1,050,083",-0.90%,-59.24%
Vermilion County,90.00%,20,"$17,047,515",0.98%,-44.42%
Warren County,71.43%,7,"$1,289,226",4.81%,-20.26%
Washington County,100.00%,2,"$452,040",3.68%,-30.62%
Wayne County,83.33%,6,"$21,633,177",11.17%,-26.04%
White County,66.67%,6,"$12,134,840",13.71%,-33.92%
Whiteside County,83.33%,12,"$28,113,761",-0.18%,-36.31%
Will County,86.54%,52,"$112,068,026",2.00%,-33.53%
Williamson County,91.67%,12,"$24,337,987",1.60%,-61.97%
Winnebago County,75.76%,66,"$141,304,390",6.22%,-24.21%
Woodford County,25.00%,4,"$330,370",10.16%,4.67%
