state,subsector,mean_proportion_govt_grant,median_proportion_govt_grant,median_govt_grant,mean_govert_grant,number_nonprofits
FL,ENV,0.02,0,0,10163.12,408
FL,HEL,0.03,0,0,68897.95,373
FL,HMS,0.03,0,0,26559.23,1604
FL,HOS,0.04,0,0,3583250.5,6
FL,IFA,0.01,0,0,5773.85,163
FL,MMB,0,0,0,0,36
FL,PSB,0.02,0,0,18535.44,581
FL,REL,0.01,0,0,2713.31,637
FL,UNI,0.03,0,0,68055.28,481
FL,UNU,0.02,0,0,39890.15,986
GA,ART,0.01,0,0,1416.35,141
GA,EDU,0,0,0,0,3
GA,ENV,0.01,0,0,4750.56,140
GA,HEL,0.02,0,0,42798.95,164
GA,HMS,0.04,0,0,53295.15,856
GA,HOS,0,0,84415.5,84990.75,4
GA,IFA,0.01,0,0,7202.1,78
GA,MMB,0.03,0,0,10847.92,25
GA,PSB,0.02,0,0,15215.13,309
GA,REL,0.01,0,0,2362.83,365
GA,UNI,0.01,0,0,4702.54,283
GA,UNU,0.01,0,0,64117.13,593
HI,ART,0.04,0,0,8977.56,56
HI,EDU,0,0,0,0,2
HI,ENV,0.05,0,0,116130.64,42
HI,HEL,0,0,0,785.71,20
HI,HMS,0.04,0,0,7853.93,103
HI,IFA,0,0,0,0,2
HI,MMB,0.36,0.36,362510.5,362510.5,2
HI,PSB,0.03,0,0,16032.38,52
HI,REL,0,0,0,0,21
HI,UNI,0.02,0,0,25866.59,41
HI,UNU,0.02,0,0,8533.4,80
IA,ART,0.02,0,0,6803.96,77
IA,EDU,0,0,0,0,1
IA,ENV,0.04,0,0,13748.09,54
IA,HEL,0.01,0,0,3039.59,66
IA,HMS,0.06,0,0,51192.76,399
IA,HOS,0,0,0,0,3
IA,IFA,0,0,0,0,17
IA,MMB,0,0,0,0,23
IA,PSB,0.03,0,0,9204.97,206
IA,REL,0.02,0,0,4859.18,83
IA,UNI,0.01,0,0,5623.69,91
IA,UNU,0.02,0,0,16784.59,544
ID,ART,0.02,0,0,5212.71,31
ID,EDU,0,0,0,0,1
ID,ENV,0.01,0,0,4297.94,36
ID,HEL,0.1,0,0,23096.71,34
ID,HMS,0.03,0,0,80058.08,182
ID,HOS,0,0,0,0,1
ID,IFA,0,0,0,0,11
ID,MMB,0,0,0,0,5
ID,PSB,0.04,0,0,26336.69,68
ID,REL,0,0,0,0,38
ID,UNI,0.02,0,0,139812.78,36
ID,UNU,0.02,0,0,30692.04,164
IL,ART,0.03,0,0,11948.78,317
IL,EDU,0.02,0,0,6016.67,6
IL,ENV,0.03,0,0,12145.29,186
IL,HEL,0.01,0,0,15325.32,242
IL,HMS,0.03,0,0,29926.78,996
IL,HOS,0,0,0,52130.55,11
IL,IFA,0,0,0,0,79
IL,MMB,0,0,0,0,44
IL,PSB,0.02,0,0,7218.06,511
IL,REL,0.02,0,0,4682.5,253
IL,UNI,0.02,0,0,6897.24,403
IL,UNU,0.01,0,0,9313.89,1261
IN,ART,0.03,0,0,18641.06,145
IN,EDU,0,0,0,0,2
IN,ENV,0.02,0,0,9855.64,119
IN,HEL,0.05,0,0,78001.09,113
IN,HMS,0.06,0,0,49794.63,641
IN,HOS,0,0,0,0,5
IN,IFA,0,0,0,0,34
IN,MMB,0.01,0,0,589.64,50
IN,PSB,0.07,0,0,56493.48,278
IN,REL,0.01,0,0,7595.7,172
IN,UNI,0.05,0,0,30103.98,145
IN,UNU,0.03,0,0,23944.12,882
KS,ART,0.08,0,0,23944.92,78
KS,EDU,0,0,0,0,1
KS,ENV,0.02,0,0,2498.73,33
KS,HEL,0.08,0,0,284380.31,77
KS,HMS,0.05,0,0,34637.27,267
KS,HOS,0,0,0,0,1
KS,IFA,0,0,0,0,12
KS,MMB,0.17,0,0,15649.67,6
KS,PSB,0.06,0,0,49093.35,133
KS,REL,0.04,0,0,34796.53,58
KS,UNI,0.03,0,0,167113.46,90
KS,UNU,0.04,0,0,20617.43,416
KY,ART,0.05,0,0,25234.94,54
KY,EDU,0,0,0,0,2
KY,ENV,0.03,0,0,22546.17,71
KY,HEL,0.07,0,0,191263.54,80
KY,HMS,0.05,0,0,128731.81,281
KY,HOS,0,0,0,0,2
KY,IFA,0,0,0,0,24
KY,MMB,0,0,0,0,13
KY,PSB,0.03,0,0,5216.29,124
KY,REL,0.01,0,0,3914.24,100
KY,UNI,0.03,0,0,23084.24,89
KY,UNU,0.03,0,0,11724.67,356
LA,ART,0.03,0,0,5573.28,58
LA,EDU,0,0,0,0,2
LA,ENV,0.03,0,0,4694.22,50
LA,HEL,0.04,0,0,16174.49,57
LA,HMS,0.06,0,0,32435.17,312
LA,HOS,0,0,0,0,2
LA,IFA,0,0,0,0,8
LA,MMB,0,0,0,4796.55,20
LA,PSB,0.04,0,0,32909.8,129
LA,REL,0.01,0,0,2266.46,90
LA,UNI,0.04,0,0,53860.18,73
LA,UNU,0.02,0,0,21882.73,298
MA,ART,0.01,0,0,10282.02,284
MA,EDU,0,0,0,128329,4
MA,ENV,0.01,0,0,3082.26,201
MA,HEL,0.01,0,0,7840.98,204
MA,HMS,0.02,0,0,49758.17,771
MA,HOS,0.01,0,0,642088,3
MA,IFA,0,0,0,0,61
MA,MMB,0.01,0,0,5630.52,21
MA,PSB,0.02,0,0,24098.13,334
MA,REL,0,0,0,2159.54,99
MA,UNI,0.01,0,0,14452.53,281
MA,UNU,0.01,0,0,8272.39,721
MD,ART,0.05,0,0,16714.37,139
MD,EDU,0.25,0,0,13694.25,4
MD,ENV,0.06,0,0,64535.35,123
MD,HEL,0.01,0,0,28464.93,143
MD,HMS,0.05,0,0,77880.47,576
MD,HOS,0.01,0,0,6180.2,5
MD,IFA,0.02,0,0,3942.38,59
MD,MMB,0,0,0,0,17
MD,PSB,0.03,0,0,6093.56,271
MD,REL,0.01,0,0,5852.4,173
MD,UNI,0.03,0,0,10952.13,168
MD,UNU,0.05,0,0,45317.02,448
ME,ART,0.02,0,0,9094.68,68
ME,ENV,0.03,0,0,15376.63,76
ME,HEL,0.03,0,0,270758.75,28
ME,HMS,0.03,0,0,27838.35,129
ME,HOS,0,0,0,0,3
ME,IFA,0.1,0,0,50986.56,9
ME,MMB,0,0,0,0,5
ME,PSB,0.04,0,0,16604.62,53
ME,REL,0,0,0,0,12
ME,UNI,0.18,0,0,25282.52,48
ME,UNU,0.02,0,0,10991.75,189
MI,ART,0.02,0,0,7863.09,185
MI,ENV,0.03,0,0,47707.47,160
MI,HEL,0.05,0,0,356517.45,173
MI,HMS,0.05,0,0,90038.49,808
MI,HOS,0.16,0,0,134016,6
MI,IFA,0,0,0,960.59,63
MI,MMB,0.01,0,0,2046.19,16
MI,PSB,0.03,0,0,21543.86,349
MI,REL,0.03,0,0,4621.37,179
MI,UNI,0.02,0,0,6388.68,205
MI,UNU,0.02,0,0,24981.9,1003
MN,ART,0.03,0,0,13689.11,145
MN,EDU,0,0,0,0,2
MN,ENV,0.06,0,0,21063.35,106
MN,HEL,0.05,0,0,40098.65,138
MN,HMS,0.08,0,0,69992.99,680
MN,HOS,0.12,0.07,533770,372678.67,3
MN,IFA,0.01,0,0,32015.32,44
MN,MMB,0.04,0,0,2928.23,22
MN,PSB,0.04,0,0,76842.79,253
MN,REL,0,0,0,274.79,140
MN,UNI,0.02,0,0,19490.23,152
MN,UNU,0.03,0,0,67783.83,654
MO,ART,0.04,0,0,97289.06,122
MO,EDU,0.01,0,0,3333.33,3
MO,ENV,0.04,0,0,7727.03,107
MO,HEL,0.05,0,0,113201.75,107
MO,HMS,0.05,0,0,71225.35,495
MO,HOS,0,0,0,0,4
MO,IFA,0,0,0,0,27
MO,MMB,0,0,0,0,19
MO,PSB,0.03,0,0,100890.27,252
MO,REL,0.02,0,0,5983.43,166
MO,UNI,0.01,0,0,4319.56,137
MO,UNU,-0.01,0,0,38292.51,637
MS,ART,0.09,0,0,45227.93,40
MS,EDU,0,0,0,0,1
MS,ENV,0.04,0,0,6465.17,35
MS,HEL,0.07,0,0,269825.81,53
MS,HMS,0.06,0,0,73109.29,193
MS,HOS,0,0,0,0,3
MS,IFA,0,0,0,0,8
MS,MMB,0,0,0,0,17
MS,PSB,0.04,0,0,17540.08,78
MS,REL,0.02,0,0,6859.17,76
MS,UNI,0.03,0,0,15796.28,68
MS,UNU,0.03,0,0,18977.74,253
MT,ART,0,0,0,1646.51,39
MT,ENV,0.06,0,0,48385.21,72
MT,HEL,0.05,0,0,20240.19,32
MT,HMS,0.02,0,0,15245.12,174
MT,IFA,0,0,0,0,5
MT,MMB,0,0,0,0,2
MT,PSB,0.02,0,0,9311.64,55
MT,REL,0.04,0,0,35929.67,24
MT,UNI,0.02,0,0,4968.67,33
MT,UNU,0.03,0,0,30288.42,160
NC,ART,0.03,0,0,28236.38,182
NC,EDU,0,0,0,0,5
NC,ENV,0.02,0,0,22505.63,200
NC,HEL,0.05,0,0,90858.51,206
NC,HMS,0.08,0,0,55401.49,882
NC,HOS,0,0,0,0,3
NC,IFA,0,0,0,997.41,82
NC,MMB,0.08,0,0,15755.71,17
NC,PSB,0.03,0,0,12202.7,332
NC,REL,0.02,0,0,6553.04,278
NC,UNI,0.02,0,0,11910.75,192
NC,UNU,0.03,0,0,42394.94,601
ND,ART,0.01,0,0,1663.65,20
ND,ENV,0.02,0,0,5604.09,22
ND,HEL,0.08,0,0,20108.67,30
ND,HMS,0.06,0,0,47486.3,121
ND,IFA,0,0,0,0,1
ND,MMB,0,0,0,0,1
ND,PSB,0.05,0,0,25299.42,43
ND,REL,0,0,0,0,13
ND,UNI,0.01,0,0,59652.88,25
ND,UNU,0.04,0,0,27520.91,145
NE,ART,0.05,0,0,44140.56,55
NE,EDU,0,0,0,0,2
NE,ENV,0.03,0,0,7078.06,32
NE,HEL,0.03,0,0,22770.64,42
NE,HMS,0.02,0,0,44632.9,230
NE,HOS,0,0,0,0,1
NE,IFA,0,0,0,0,6
NE,MMB,0,0,0,0,8
NE,PSB,0.04,0,0,45991.12,112
NE,REL,0,0,0,653.03,57
NE,UNI,0.05,0,0,18022.31,59
NE,UNU,0.02,0,0,11388.36,294
NH,ART,0.01,0,0,7028.1,62
NH,EDU,0,0,0,0,2
NH,ENV,0.01,0,0,3810.8,44
NH,HEL,0.03,0,0,13922.17,35
NH,HMS,0.05,0,0,27865.01,200
NH,IFA,0,0,0,0,12
NH,MMB,0,0,0,0,3
NH,PSB,0.03,0,0,55986.41,79
NH,REL,0.02,0,0,7586.26,23
NH,UNI,0.01,0,0,73542.67,66
NH,UNU,0.01,0,0,11235.26,167
NJ,ART,0.02,0,0,12165.06,208
NJ,EDU,0,0,0,0,1
NJ,ENV,0.02,0,0,69833.62,142
NJ,HEL,0.05,0,0,112364.34,194
NJ,HMS,0.05,0,0,69394.17,896
NJ,HOS,0,0,0,0,4
NJ,IFA,0.02,0,0,80364.31,72
NJ,MMB,0,0,0,0,71
NJ,PSB,0.03,0,0,24691.79,317
NJ,REL,0.01,0,0,2234.98,200
NJ,UNI,0.03,0,0,17610.07,261
NJ,UNU,0.03,0,0,31474.96,943
NM,ART,0.05,0,0,19944.58,56
NM,EDU,0,0,0,0,2
NM,ENV,0.06,0,0,25647.43,43
NM,HEL,0.06,0,0,74885.39,41
NM,HMS,0.06,0,0,65307.74,142
NM,HOS,0,0,0,0,2
NM,IFA,0,0,0,0,17
NM,MMB,0,0,0,0,12
NM,PSB,0.06,0,0,23924.98,65
NM,REL,0,0,0,0,27
NM,UNI,0.02,0,0,12735.12,51
NM,UNU,0.03,0,0,9217.18,134
NV,ART,0.05,0,0,26144.9,42
NV,ENV,0.02,0,0,29021.94,46
NV,HEL,0.08,0,0,65219.92,36
NV,HMS,0.03,0,0,18727.57,171
NV,HOS,0,0,0,0,3
NV,IFA,0,0,0,0,13
NV,MMB,0,0,0,0,6
NV,PSB,0.04,0,0,89180.33,67
NV,REL,0,0,0,667.71,52
NV,UNI,0.02,0,0,5997.66,53
NV,UNU,0.03,0,0,34191.83,126
NY,ART,0.02,0,0,17353.32,734
NY,EDU,0,0,0,0,6
NY,ENV,0.02,0,0,14618.95,326
NY,HEL,0.05,0,0,142003.41,409
NY,HMS,0.05,0,0,75631.1,1942
NY,HOS,0.06,0,0,269230.5,12
NY,IFA,0,0,0,9541.83,199
NY,MMB,0.01,0,0,1456.91,78
NY,PSB,0.03,0,0,110202.54,847
NY,REL,0.01,0,0,4949.97,427
NY,UNI,0.1,0,0,63846.16,572
NY,UNU,0.04,0,0,85945.48,1685
OH,ART,0.06,0,0,38947.4,246
OH,EDU,0,0,0,0,2
OH,ENV,0.04,0,0,20342.72,196
OH,HEL,0.01,0,0,17799.29,190
OH,HMS,0.04,0,0,75357.81,1032
OH,HOS,0,0,0,0,6
OH,IFA,0,0,0,0,59
OH,MMB,0,0,0,1743.45,55
OH,PSB,0.04,0,0,73013.59,420
OH,REL,0,0,0,310.69,210
OH,UNI,0.03,0,0,15598.03,262
OH,UNU,0.02,0,0,20174.46,1380
OK,ART,0.05,0,0,5546.87,46
OK,ENV,0.02,0,0,6611.86,43
OK,HEL,0,0,0,4479.03,58
OK,HMS,0.04,0,0,93980.22,253
OK,HOS,0.01,0,0,99825.67,3
OK,IFA,0,0,0,0,19
OK,MMB,0,0,0,0,13
OK,PSB,0.02,0,0,2733.29,111
OK,REL,0,0,0,473.57,135
OK,UNI,0.01,0,0,8202.92,65
OK,UNU,0.05,0,0,7887.33,278
OR,ART,0.04,0,0,15423.95,148
OR,EDU,0.04,0.04,105345,105345,2
OR,ENV,0.08,0,0,128342.81,127
OR,HEL,0.1,0,0,109560.45,92
OR,HMS,0.04,0,0,53059.96,414
OR,HOS,0.24,0,0,125924.33,3
OR,IFA,0,0,0,239.36,47
OR,MMB,0,0,0,0,10
OR,PSB,0.03,0,0,32554.72,199
OR,REL,0.01,0,0,1772.31,84
OR,UNI,0.02,0,0,9048.1,151
OR,UNU,0.02,0,0,14691.96,396
PA,ART,0.03,0,0,16427.74,266
PA,EDU,0,0,0,0,2
PA,ENV,0.03,0,0,57692.8,207
PA,HEL,0.03,0,0,345165.11,209
PA,HMS,0.09,0,0,70869.94,1372
PA,HOS,0,0,0,0,5
PA,IFA,0,0,0,0,51
PA,MMB,0.02,0,0,1782.94,77
PA,PSB,0.03,0,0,21841.69,448
PA,REL,0.01,0,0,7356.61,224
PA,UNI,0.07,0,0,248838.27,267
PA,UNU,0.02,0,0,33248.91,1504
RI,ART,0.03,0,0,30528.79,43
RI,ENV,0.03,0,0,8139.27,22
RI,HEL,0.06,0,0,15543.22,23
RI,HMS,0.03,0,0,290421.74,100
RI,HOS,0,0,0,0,2
RI,IFA,0,0,0,0,7
RI,MMB,0,0,0,0,5
RI,PSB,0,0,0,0,35
RI,REL,0,0,0,0,10
RI,UNI,0.02,0,0,1744.03,35
RI,UNU,0.02,0,0,6324.24,170
SC,ART,0.05,0,0,40824.58,98
SC,EDU,0,0,0,28218.67,3
SC,ENV,0.02,0,0,24413.52,114
SC,HEL,0.03,0,0,21633.22,112
SC,HMS,0.04,0,0,32993.02,500
SC,HOS,0,0,0,0,3
SC,IFA,0,0,0,0,20
SC,MMB,0.07,0,0,18381.64,14
SC,PSB,0.03,0,0,22359.71,204
SC,REL,0,0,0,1510.98,146
SC,UNI,0.03,0,0,18424.35,127
SC,UNU,0.03,0,0,74446.38,334
SD,ART,0.03,0,0,3291.78,27
SD,EDU,0,0,0,0,1
SD,ENV,0.13,0,0,56188.88,17
SD,HEL,0.03,0,0,10211.58,19
SD,HMS,0.06,0,0,28144.62,143
SD,IFA,0,0,0,0,4
SD,MMB,0.1,0,0,236700.14,7
SD,PSB,0.09,0,0,31865.36,58
SD,REL,0.07,0,0,11413,14
SD,UNI,0.08,0,0,48941.32,25
SD,UNU,0.07,0,0,45421.78,160
TN,ART,0.05,0,0,47737.12,121
TN,EDU,0.02,0.02,8104.5,8104.5,2
TN,ENV,0.03,0,0,8406.48,128
TN,HEL,0.09,0,0,158429.53,152
TN,HMS,0.06,0,0,81929.22,650
TN,HOS,0.17,0.17,80821.5,80821.5,2
TN,IFA,0.02,0,0,4843.72,63
TN,MMB,0,0,0,0,19
TN,PSB,0.04,0,0,40558.66,215
TN,REL,0,0,0,1686.35,258
TN,UNI,0.03,0,0,78073.18,154
TN,UNU,0.01,0,0,36231.4,528
TX,ART,0.03,0,0,10495.97,344
TX,EDU,0.13,0,0,57313.44,9
TX,ENV,0.02,0,0,9384.68,336
TX,HEL,0.02,0,0,43492.75,334
TX,HMS,0.03,0,0,91848.76,1832
TX,HOS,0.15,0,0,82025,6
TX,IFA,0.03,0,0,7036.88,196
TX,MMB,0,0,0,439.56,91
TX,PSB,0.02,0,0,11957.61,693
TX,REL,0.01,0,0,2439.82,835
TX,UNI,0.02,0,0,18144.24,544
TX,UNU,0.02,0,0,9265.5,1582
UT,ART,0.04,0,0,13981.44,73
UT,EDU,0,0,0,0,1
UT,ENV,0.03,0,0,46298.42,52
UT,HEL,0.03,0,0,185434.52,56
UT,HMS,0.04,0,0,52240.11,189
UT,HOS,0,0,0,0,1
UT,IFA,0.05,0,0,19156.62,21
UT,MMB,0.12,0,0,44885.65,17
UT,PSB,0.02,0,0,5550.55,100
UT,REL,0,0,0,0,26
UT,UNI,0.02,0,0,7225.38,53
UT,UNU,0.01,0,0,4871.21,170
VA,ART,0.03,0,0,12872.99,171
VA,EDU,0.12,0,0,143258.89,9
VA,ENV,0.03,0,0,33779.53,158
VA,HEL,0.03,0,0,208489.61,169
VA,HMS,0.06,0,0,40692.97,777
VA,HOS,0.01,0,0,996741.6,5
VA,IFA,0.02,0,0,5080.17,102
VA,MMB,0,0,0,0,18
VA,PSB,0.02,0,0,10105.9,347
VA,REL,0.01,0,0,4001.76,198
VA,UNI,0.01,0,0,7252.94,199
VA,UNU,0.03,0,0,10402.78,696
VT,ART,0.03,0,0,7419.32,38
VT,ENV,0.09,0,0,25879.58,40
VT,HEL,0.08,0,0,38600.79,31
VT,HMS,0.05,0,0,22438.29,126
VT,HOS,0,0,0,0,1
VT,IFA,0,0,0,0,3
VT,MMB,0,0,0,0,1
VT,PSB,0.05,0,0,43550.12,32
VT,REL,0,0,0,0,6
VT,UNI,0.05,0,0,3772.19,32
VT,UNU,0.03,0,0,25258.25,108
WA,ART,0.07,0,0,39244.09,185
WA,EDU,0.02,0,0,6069.25,4
WA,ENV,0.05,0,0,36044.48,163
WA,HEL,0.05,0,0,116941.41,118
WA,HMS,0.04,0,0,53467.4,600
WA,HOS,0,0,0,0,4
WA,IFA,0,0,0,7069.38,85
WA,MMB,0,0,0,0,25
WA,PSB,0.05,0,0,26740.44,263
WA,REL,0.01,0,0,5222.88,159
WA,UNI,0.03,0,0,19343.93,175
WA,UNU,0.03,0,0,32361.33,595
WI,ART,0.03,0,0,11454.65,122
WI,EDU,0,0,0,12025,4
WI,ENV,0.01,0,0,5852.86,128
WI,HEL,0.01,0,0,31303.81,118
WI,HMS,0.04,0,0,58495.78,683
WI,HOS,0.14,0,0,30923.71,7
WI,IFA,0,0,0,0,38
WI,MMB,0,0,0,0,22
WI,PSB,0.03,0,0,47760.79,270
WI,REL,0.01,0,0,6171.06,82
WI,UNI,0.02,0,0,6316.95,142
WI,UNU,0.03,0,0,45299.89,687
WV,ART,0.07,0,0,6890.95,39
WV,EDU,0,0,0,0,2
WV,ENV,0.04,0,0,13636.49,43
WV,HEL,0.05,0,0,19914.18,39
WV,HMS,0.15,0,0,38721.3,206
WV,HOS,0,0,0,0,1
WV,IFA,0,0,0,0,6
WV,MMB,0,0,0,0,14
WV,PSB,0.07,0,0,54231.36,53
WV,REL,0,0,0,0,31
WV,UNI,0.03,0,0,2171.32,28
WV,UNU,0.06,0,0,35144.58,244
WY,ART,0.02,0,0,1837.92,24
WY,ENV,0.01,0,0,363.16,19
WY,HEL,0,0,0,0,12
WY,HMS,0.06,0,0,20098.67,73
WY,MMB,0,0,0,0,1
WY,PSB,0.02,0,0,5539.09,32
WY,REL,0,0,0,0,8
WY,UNI,0.08,0,0,39147.6,15
WY,UNU,0.03,0,0,12170.21,77
