state,expense_category,median_months_cash_on_hand,number_nonprofits
VT,Between $5M and $9.99M,4.47,76
VT,Greater than $10M,3.42,88
VT,Less than $100K,12.6,190
WA,Between $100K and $499K,4.15,2947
WA,Between $1M and $4.99M,4.85,1657
WA,Between $500K and $999K,4.55,1162
WA,Between $5M and $9.99M,5.09,320
WA,Greater than $10M,2.6,571
WA,Less than $100K,8.23,804
WI,Between $100K and $499K,6.04,2584
WI,Between $1M and $4.99M,5.75,1244
WI,Between $500K and $999K,5.77,894
WI,Between $5M and $9.99M,4.58,252
WI,Greater than $10M,3.1,447
WI,Less than $100K,13.38,947
WV,Between $100K and $499K,3.66,857
WV,Between $1M and $4.99M,4.69,375
WV,Between $500K and $999K,6.02,267
WV,Between $5M and $9.99M,4.94,59
WV,Greater than $10M,2.52,138
WV,Less than $100K,2.14,356
WY,Between $100K and $499K,4.74,437
WY,Between $1M and $4.99M,5.26,166
WY,Between $500K and $999K,6.54,166
WY,Between $5M and $9.99M,5.42,30
WY,Greater than $10M,2.86,28
WY,Less than $100K,10.34,143
