state,subsector,median_months_cash_on_hand,number_nonprofits
ID,IFA,3.9,24
ID,MMB,4.91,18
ID,PSB,4.21,134
ID,REL,4.05,60
ID,UNI,6.1,181
ID,UNU,5.13,429
IL,ART,6.19,692
IL,EDU,5.91,100
IL,ENV,8.71,315
IL,HEL,7.89,827
IL,HMS,4.56,2716
IL,HOS,4.55,153
IL,IFA,3.96,177
IL,MMB,0,140
IL,PSB,6.66,1357
IL,REL,2.84,433
IL,UNI,5.68,1070
IL,UNU,5.39,4157
IN,ART,8.22,335
IN,EDU,5.03,43
IN,ENV,3.71,182
IN,HEL,5.42,417
IN,HMS,4.57,1715
IN,HOS,6.59,95
IN,IFA,2.71,111
IN,MMB,0,109
IN,PSB,6.65,779
IN,REL,2.76,259
IN,UNI,3.98,601
IN,UNU,3.28,2462
KS,ART,3.99,181
KS,EDU,4.24,39
KS,ENV,5.05,95
KS,HEL,5.37,270
KS,HMS,3.14,687
KS,HOS,4.25,59
KS,IFA,4.81,27
KS,MMB,0,36
KS,PSB,6.21,357
KS,REL,0.48,107
KS,UNI,3.08,262
KS,UNU,2.09,1028
KY,ART,4.65,187
KY,EDU,3.27,36
KY,ENV,4.01,128
KY,HEL,5.89,292
KY,HMS,3.76,955
KY,HOS,6.61,68
KY,IFA,3.56,43
KY,MMB,0,37
KY,PSB,6.43,384
KY,REL,1.66,143
KY,UNI,2.91,351
KY,UNU,5.06,1193
LA,ART,4.59,219
LA,EDU,6.29,18
LA,ENV,7.85,104
LA,HEL,3.45,254
LA,HMS,3.06,887
LA,HOS,5.34,37
LA,IFA,3.28,20
LA,MMB,5.63,37
LA,PSB,6.62,375
LA,REL,0.66,139
LA,UNI,3.72,390
LA,UNU,3.42,1169
MA,ART,8.72,755
MA,EDU,6.06,87
MA,ENV,7.81,355
MA,HEL,5.7,725
MA,HMS,5.8,2254
MA,HOS,3.22,76
MA,IFA,3.91,160
MA,MMB,0,90
MA,PSB,6.9,905
MA,REL,3.8,156
MA,UNI,7.32,1043
MA,UNU,6.23,2728
MD,ART,6.09,349
MD,EDU,6.29,39
MD,ENV,5.73,251
MD,HEL,4.91,582
MD,HMS,3.68,1754
MD,HOS,3.53,88
MD,IFA,3,116
MD,MMB,0,50
MD,PSB,6.05,681
MD,REL,1.77,231
MD,UNI,4.16,572
MD,UNU,5.45,1942
ME,ART,6.83,182
ME,EDU,5.48,21
ME,ENV,8.72,168
ME,HEL,4.29,179
ME,HMS,5.34,508
ME,HOS,2.21,50
ME,IFA,5.97,18
ME,MMB,0,24
ME,PSB,5.38,150
ME,REL,4.76,29
ME,UNI,5.4,206
ME,UNU,5.09,596
MI,ART,5.92,504
MI,EDU,4.74,56
MI,ENV,5.64,312
MI,HEL,3.68,643
MI,HMS,4.4,2306
MI,HOS,6.05,109
MI,IFA,3.76,126
MI,MMB,0,86
MI,PSB,7.05,917
MI,REL,3.31,303
MI,UNI,5.02,679
MI,UNU,3.52,2880
MN,ART,5.32,455
MN,EDU,3.86,46
MN,ENV,5.86,229
MN,HEL,5.41,499
MN,HMS,4.17,2122
MN,HOS,5.71,98
MN,IFA,5.17,110
MN,MMB,0,112
MN,PSB,6.91,693
MN,REL,3.92,228
MN,UNI,3.31,737
MN,UNU,4.42,2835
MO,ART,4.73,311
MO,EDU,5.08,54
MO,ENV,3.61,176
MO,HEL,4.93,465
MO,HMS,4.03,1548
MO,HOS,0.39,157
MO,IFA,3.54,79
MO,MMB,0,59
MO,PSB,5.26,635
MO,REL,1.52,243
MO,UNI,4.76,481
MO,UNU,4.02,2290
MS,ART,4.81,94
MS,EDU,4.76,18
MS,ENV,0.65,58
MS,HEL,3.8,135
MS,HMS,3.36,456
MS,HOS,3.38,35
MS,IFA,3.56,12
MS,MMB,-0.05,62
MS,PSB,6.29,235
MS,REL,3.19,82
MS,UNI,2.03,212
MS,UNU,4.71,812
MT,ART,4.89,98
MT,EDU,1.6,9
MT,ENV,7.02,147
MT,HEL,5.2,136
MT,HMS,5.18,463
MT,HOS,8.42,56
MT,IFA,1.8,16
MT,MMB,0,12
MT,PSB,5.51,191
MT,REL,2.78,49
MT,UNI,5.29,130
MT,UNU,3.81,636
NC,ART,5.94,461
NC,EDU,6.03,87
NC,ENV,7.09,356
NC,HEL,5.15,656
NC,HMS,5.55,2614
NC,HOS,7.78,85
NC,IFA,4.73,136
NC,MMB,0,96
NC,PSB,6.99,806
NC,REL,3.21,385
NC,UNI,2.99,1030
NC,UNU,6.36,2297
ND,ART,6.51,55
ND,EDU,2.02,5
ND,ENV,5.14,37
ND,HEL,6.24,91
ND,HMS,4.21,351
ND,HOS,7.37,37
ND,IFA,7.06,5
ND,MMB,0,15
ND,PSB,8.54,117
ND,REL,6.55,17
ND,UNI,1.05,69
ND,UNU,2.83,496
NE,ART,6.46,156
NE,EDU,4.84,21
NE,ENV,5.69,68
NE,HEL,5.25,176
NE,HMS,4.1,623
NE,HOS,11.28,67
NE,IFA,5.94,16
NE,MMB,0,20
NE,PSB,8.58,297
NE,REL,3.11,69
NE,UNI,6.04,171
NE,UNU,4.93,801
NH,ART,5.07,117
NH,EDU,4.33,15
NH,ENV,8.84,91
NH,HEL,4.8,143
NH,HMS,5.2,482
NH,HOS,6.43,35
NH,IFA,9.14,15
NH,MMB,0,19
NH,PSB,5.87,146
NH,REL,1.89,30
NH,UNI,4.46,163
NH,UNU,5.42,569
NJ,ART,5.1,373
NJ,EDU,3.62,51
NJ,ENV,5.46,241
NJ,HEL,5.15,651
NJ,HMS,3.95,2127
NJ,HOS,3.97,68
NJ,IFA,2.78,181
NJ,MMB,0,148
NJ,PSB,4.01,770
NJ,REL,0.82,360
NJ,UNI,4.04,968
NJ,UNU,5.1,2638
NM,ART,6.33,149
NM,EDU,4.9,8
NM,ENV,6.09,95
NM,HEL,5.09,134
NM,HMS,4.28,453
NM,HOS,7.43,19
NM,IFA,2.79,25
NM,MMB,0,26
NM,PSB,7.82,193
NM,REL,2.86,47
NM,UNI,5.57,215
NM,UNU,5.28,585
NV,ART,3.57,90
NV,EDU,3.47,7
NV,ENV,2.12,90
NV,HEL,1.83,145
NV,HMS,1.78,443
NV,HOS,3.94,14
NV,IFA,1.02,23
NV,MMB,0,25
NV,PSB,3.21,183
NV,REL,3.45,63
NV,UNI,2.07,178
NV,UNU,3.27,449
NY,ART,5.4,2174
NY,EDU,5.69,223
NY,ENV,6.67,722
NY,HEL,4.41,1890
NY,HMS,5.02,6065
NY,HOS,1.28,279
NY,IFA,3.31,740
NY,MMB,0,284
NY,PSB,6.49,2488
NY,REL,1.57,842
NY,UNI,5.24,2338
NY,UNU,5.16,6447
OH,ART,6.17,654
OH,EDU,3.11,78
OH,ENV,5.56,375
OH,HEL,4.63,858
OH,HMS,3.72,3012
OH,HOS,5.85,130
OH,IFA,3.11,98
OH,MMB,0,132
OH,PSB,8.65,1271
OH,REL,2.5,364
OH,UNI,1.71,1184
OH,UNU,3.51,4479
OK,ART,5.68,178
OK,EDU,3.75,33
OK,ENV,1.1,84
OK,HEL,4.49,224
OK,HMS,4.05,835
OK,HOS,3.23,37
OK,IFA,3.23,46
OK,MMB,0,23
OK,PSB,5.19,328
OK,REL,0.82,178
OK,UNI,2.47,283
OK,UNU,3.31,900
OR,ART,6.25,337
OR,EDU,4.74,31
OR,ENV,5.2,340
OR,HEL,5.69,341
OR,HMS,4.13,1296
OR,HOS,6.98,41
OR,IFA,2.69,76
OR,MMB,0,42
OR,PSB,5.48,508
OR,REL,2.17,140
OR,UNI,2.81,478
OR,UNU,5.11,1342
PA,ART,6.87,854
PA,EDU,5.3,127
PA,ENV,7.01,494
PA,HEL,5.21,1298
PA,HMS,4.75,4540
PA,HOS,4.67,217
PA,IFA,4.65,156
PA,MMB,0,233
PA,PSB,7.29,1431
PA,REL,4.05,383
PA,UNI,4.65,1373
PA,UNU,4.4,5154
RI,ART,7.29,118
RI,EDU,9.93,16
RI,ENV,5.17,61
RI,HEL,3.94,118
RI,HMS,4.41,385
RI,HOS,0.78,22
RI,IFA,3.9,9
RI,MMB,0,12
RI,PSB,5.78,118
RI,REL,1.41,15
RI,UNI,5.48,163
RI,UNU,5.9,494
SC,ART,4.2,196
SC,EDU,5.58,39
SC,ENV,8.51,165
SC,HEL,3.59,254
SC,HMS,4.65,918
SC,HOS,6.31,46
SC,IFA,5.16,34
SC,MMB,0,33
SC,PSB,4.66,389
SC,REL,3.13,161
SC,UNI,3.09,467
SC,UNU,5.27,940
SD,ART,11.01,57
SD,EDU,1.05,15
SD,ENV,9.43,37
SD,HEL,4.13,92
SD,HMS,5.8,320
SD,HOS,9.43,35
SD,IFA,6.36,9
SD,MMB,0,15
SD,PSB,10.27,146
SD,REL,7.87,30
SD,UNI,4.61,85
SD,UNU,5.68,467
TN,ART,6.19,311
TN,EDU,4.19,51
TN,ENV,6.55,195
TN,HEL,4.62,461
TN,HMS,4.91,1537
TN,HOS,1.11,64
TN,IFA,3.72,112
TN,MMB,0,46
TN,PSB,4.9,558
TN,REL,2.35,402
TN,UNI,2.87,553
TN,UNU,3.77,1565
TX,ART,4.07,1109
TX,EDU,3.99,95
TX,ENV,2.96,667
TX,HEL,3.88,1263
TX,HMS,2.58,4962
TX,HOS,2.22,181
TX,IFA,2.24,364
TX,MMB,0,191
TX,PSB,3.29,2058
TX,REL,1.54,1288
TX,UNI,3.58,2093
TX,UNU,2.66,5378
UT,ART,5.55,154
UT,EDU,0.74,16
UT,ENV,4.1,106
UT,HEL,5.58,167
UT,HMS,3.52,479
UT,HOS,12.64,8
UT,IFA,6.1,55
UT,MMB,-0.1,35
UT,PSB,6.17,219
UT,REL,1.43,45
UT,UNI,4.26,275
UT,UNU,4.2,514
VA,ART,7.43,538
VA,EDU,4.53,72
VA,ENV,7.81,351
VA,HEL,7.18,634
VA,HMS,4.9,2144
VA,HOS,4.21,49
VA,IFA,2.32,241
VA,MMB,0,72
VA,PSB,6.48,1082
VA,REL,3.51,311
VA,UNI,5.26,941
VA,UNU,5.66,2764
VT,ART,6.02,120
VT,EDU,3.96,12
VT,ENV,5.04,103
VT,HEL,4.46,139
VT,HMS,4.75,426
VT,HOS,4.48,23
VT,IFA,4.12,16
VT,MMB,0,14
VT,PSB,6.06,120
VT,REL,0,11
VT,UNI,3.62,140
VT,UNU,7.91,389
WA,ART,5.57,533
WA,EDU,8.32,48
WA,ENV,5.01,382
WA,HEL,6.38,456
WA,HMS,3.8,1807
WA,HOS,3.19,66
WA,IFA,3.67,167
WA,MMB,0,107
WA,PSB,5.27,709
WA,REL,2.65,255
WA,UNI,4.42,714
WA,UNU,4.59,2205
WI,ART,8.03,355
WI,EDU,7.7,37
WI,ENV,7.13,310
WI,HEL,6.48,442
WI,HMS,5.01,1711
WI,HOS,7.53,114
WI,IFA,5.84,56
WI,MMB,0,73
WI,PSB,7.68,659
WI,REL,3.29,135
WI,UNI,4.95,499
WI,UNU,5.73,1972
WV,ART,8.97,72
WV,EDU,2.4,14
WV,ENV,5.11,72
WV,HEL,5.42,172
WV,HMS,3.67,599
WV,HOS,3.78,49
WV,IFA,0.65,6
WV,MMB,0,26
WV,PSB,3.64,184
WV,REL,3.78,33
WV,UNI,2.85,113
WV,UNU,4.49,710
WY,ART,4.44,57
WY,EDU,4.24,5
WY,ENV,2.72,71
WY,HEL,10.26,67
WY,HMS,3.64,268
WY,HOS,8.29,6
WY,MMB,1.05,10
WY,PSB,4.88,90
WY,REL,0,21
WY,UNI,5.53,76
WY,UNU,6.43,298
